"District","District Perimeter","District Area","Compactness Polsby Popper","Compactness Schwartzberg","Compactness Reock"
"1",431751.244866985,5320668238.69845,0.358681392555405,0.598900152408901,0.367018129124589
"2",268259.015613876,1950910029.3244,0.340673578307197,0.583672492333841,0.422873729399737
"3",726457.562620132,7231202208.56755,0.172186806572232,0.414953981270492,0.401387849846029
"4",364530.308140391,2599080814.52638,0.245788954402523,0.4957710705583,0.413801236003128
"5",972867.722035162,9331200962.00588,0.123891016907926,0.351981557624723,0.174335156051207
"6",876620.789679208,19390421625.6955,0.317083456994511,0.563101640021152,0.584478417778932
"7",816475.476000371,13857653561.586,0.261224119897169,0.511100890135372,0.582781842424461
"8",261672.199537392,936668355.835312,0.171901846794243,0.414610475982268,0.397636967535225
"9",674733.589176498,12132598683.0204,0.334887575656651,0.578694717149424,0.44331429162214
"10",398217.795938436,4090497649.27156,0.324148997545078,0.569340844789023,0.526246855353955
"11",768450.673588732,16213724054.343,0.345033012604953,0.587395107746867,0.504953826505896
"12",490155.403966659,4484068286.55745,0.234538688076473,0.484291945087333,0.265682308432305
"13",427376.018979471,6177960761.4942,0.425044803606455,0.651954602412204,0.487433949407452
"14",309090.44885934,1301455125.22241,0.17118586103336,0.413746131140051,0.403306160526688
"15",212918.778741335,705048447.849081,0.195434346932117,0.442079570815161,0.292850667979909
"16",232728.879514821,1052717107.30254,0.24424235983333,0.494208822091765,0.258728674001972
