"District","District Perimeter","District Area","Compactness Polsby Popper","Compactness Schwartzberg","Compactness Reock"
"1",283733.376301573,1972106109.61498,0.307835917328042,0.55482962910072,0.394457693872299
"2",814506.117247243,10343831998.6909,0.195930759302709,0.442640666119494,0.390283176680637
"3",463148.345628585,8379527196.20075,0.490895605915729,0.700639426463948,0.557361778714481
"4",805030.98748911,13620656648.7461,0.264108703923275,0.513915074621552,0.490915118965992
"5",560344.387746956,6911196033.52277,0.276600539423266,0.525928264522136,0.38526594476681
"6",482610.404385019,4796399691.34763,0.258780691785292,0.508704916218913,0.296648987051529
"7",369363.891265925,2424144416.86869,0.223284964340283,0.472530384568319,0.19365650164606
"8",146052.575029854,434765833.104767,0.256121970359836,0.506084943818561,0.272108751497893
"9",515972.972888339,5240215690.28337,0.247346130249579,0.497339049592507,0.300446700563849
"10",852718.850669386,12196982021.2421,0.210790250518126,0.459118993854672,0.303123614828496
"11",297132.728124072,2328694520.73434,0.331452580428304,0.575719185391892,0.461302842402408
"12",280006.897798818,1485394319.78749,0.238075202684556,0.487929505855667,0.527012422382349
"13",344142.003881434,3006124590.798,0.318963856681447,0.56476885243562,0.443286314054382
"14",361065.655194906,3220036192.90552,0.310383236327733,0.557120486365142,0.509120976110958
"15",964824.325676788,15267482575.9426,0.206101336403826,0.453983850377771,0.445014702364694
"16",1058818.45672043,15148318072.3681,0.169797492862462,0.41206491340863,0.35272781260652
