"District","District Perimeter","District Area","Compactness Polsby Popper","Compactness Schwartzberg","Compactness Reock"
"1",276280.186870316,2297896732.6753,0.378303961804073,0.615064193238457,0.577941862631825
"2",602972.156685264,6788487028.80904,0.234632592893844,0.484388886013959,0.355603046326187
"3",202984.214617123,870041285.763995,0.265353728479836,0.515124963945483,0.449358286032506
"4",830796.544634716,10180387247.3523,0.185346674837471,0.430519076043642,0.241056187975113
"5",568815.375087745,6934200677.92882,0.269316905938291,0.518957518433148,0.646989094712529
"6",157624.038587966,590922521.439587,0.298879071237934,0.546698336597007,0.629705801069515
"7",613515.66818596,11980865941.5026,0.399987809978722,0.632445894902261,0.410637855583593
"8",1167016.34192589,11625562512.6281,0.107267945982044,0.327517855974363,0.290333465301759
"9",708807.899210238,9561742166.09595,0.239160688519478,0.489040579624511,0.40189062713483
"10",968130.16154436,14032480329.5553,0.188138122214246,0.433748916095759,0.612092551463407
"11",285783.957751705,1683919629.12082,0.259092911144331,0.509011700400228,0.162704309036811
"12",282616.84951743,843841644.44983,0.132762284511048,0.364365591831951,0.294551172557899
"13",864956.081759718,15738269625.1703,0.264349645271095,0.514149438656793,0.604388559304789
"14",584816.230731923,7138090303.22157,0.262272687950563,0.512125656407256,0.323342442552859
"15",533911.404906177,5012572549.06756,0.220969401577146,0.470073825666933,0.268421117622766
"16",346603.391852262,1496595717.06755,0.156548440368474,0.395662027958805,0.240720755808166
