"District","District Perimeter","District Area","Compactness Polsby Popper","Compactness Schwartzberg","Compactness Reock"
"1",275430.816696197,1644192622.03477,0.272356346261362,0.521877711979887,0.394087658475169
"2",391559.404094562,1834400280.80053,0.150351807834546,0.387752250586049,0.277588718525051
"3",840970.308981716,15901705528.9667,0.28254800476528,0.531552447802924,0.436570583931258
"4",412314.152392539,3468608303.05481,0.256394461512628,0.506354087089882,0.312873955223896
"5",733194.571241223,13539750541.3535,0.316506071590574,0.562588723305555,0.454735032017208
"6",1007653.52624347,13042811529.7322,0.161420476390558,0.401771671961275,0.355579416067956
"7",1352431.833939,12869091017.2002,0.0884152067759946,0.297346946807924,0.248935265266685
"8",195765.686632405,553060438.431573,0.181346556607111,0.425848044033446,0.488889932296475
"9",913365.620207229,13218205909.9181,0.199109992566418,0.446217427457084,0.400516323202609
"10",705953.582365453,9814439205.63124,0.247470286095117,0.497463854058882,0.359940179208066
"11",472387.296604482,3531012600.36317,0.198844100836846,0.445919388271968,0.289006037856705
"12",542910.051153307,5301706491.86156,0.226031923595074,0.475428147668051,0.288818380604531
"13",422952.11130989,6057687376.92771,0.425534059229219,0.652329716653487,0.464535057309585
"14",452921.341762068,4079970504.10337,0.249931684898417,0.499931680230826,0.315008339361117
"15",212168.748743221,1149520503.44222,0.320895595148551,0.566476473605525,0.399908526463204
"16",253254.457127511,769713057.87111,0.150808049659828,0.388340121104977,0.284471807885356
