"District","District Perimeter","District Area","Compactness Polsby Popper","Compactness Schwartzberg","Compactness Reock"
"1",558683.215243168,6753744654.38217,0.271908793655454,0.521448744993651,0.345055915496904
"2",784241.369442594,10391551732.0575,0.212319934734664,0.460781873270492,0.486133773616178
"3",402723.245556667,3861958730.8348,0.299229285913485,0.547018542568243,0.57941801218351
"4",954897.812428869,13380613007.0728,0.184404738866598,0.429423728811762,0.37782511094527
"5",213971.241814899,1324073100.50211,0.363421831156244,0.602844781976459,0.569252519107231
"6",204127.406592705,948599843.674111,0.286081831081845,0.534866180536632,0.473588622230477
"7",571467.914437607,6214030354.5115,0.239110986515305,0.488989761155901,0.251992760679115
"8",394255.026236299,3922292204.73401,0.317099335094322,0.563115738631342,0.555475472216102
"9",1103017.5693326,15065363937.71,0.155605388163274,0.394468488175259,0.177556963282975
"10",197808.435007029,786879625.16511,0.252713562628767,0.502706238899784,0.286587572417923
"11",849348.065209609,11122662112.7047,0.193752450817815,0.440173205474635,0.461797349438366
"12",197342.127069435,1116121457.88742,0.360148584151617,0.600123807352797,0.306494196837483
"13",332379.480405297,2888892896.18976,0.32860403795067,0.573239947971763,0.474009516643873
"14",547803.943963697,8545969178.30927,0.357866360743322,0.598219324949739,0.413848217813776
"15",652439.372331819,11942300533.3286,0.35254741752081,0.593757035765312,0.403546422322319
"16",623040.284393209,8510822542.35663,0.275517470819575,0.524897581266646,0.375522800856624
