"District","District Perimeter","District Area","Compactness Polsby Popper","Compactness Schwartzberg","Compactness Reock"
"1",592153.188962115,5633288966.4279,0.201884858868317,0.449315989998483,0.272608724358339
"2",771943.111799224,14043529027.227,0.296152584979878,0.544199030667896,0.416566676678564
"3",430954.039118378,3019626679.43496,0.204315449237771,0.452012664908597,0.420167857138128
"4",214267.247307459,888038409.32844,0.243069257149142,0.493020544347943,0.339662950165114
"5",452943.605641211,5730114857.25153,0.350982065459889,0.592437393704929,0.496395351552744
"6",196793.440075977,881730447.801624,0.286104353967134,0.534887234814156,0.531730868013291
"7",256169.963347349,1392373797.88847,0.266630172563226,0.516362443021592,0.397125258046909
"8",281846.484195055,1966194106.45763,0.311036252406592,0.557706242036605,0.486408611236131
"9",459463.213958815,2990594325.18973,0.178018803030154,0.42192274533397,0.37785363238041
"10",869095.092824665,17288928774.8612,0.287636074840648,0.536317140170486,0.297674429744984
"11",815429.408386835,16560152820.3401,0.312969102071799,0.559436414681596,0.462998900545115
"12",723998.341651201,10386089148.4865,0.248992787492422,0.498991770966638,0.281759850372599
"13",784700.487467498,9756043206.72739,0.199102051187433,0.446208528815209,0.281254455113247
"14",137503.307674126,523701765.895973,0.348070816211885,0.589975267457785,0.39136472140686
"15",748609.265655806,10229955824.1759,0.229389336937187,0.478946068923409,0.276473874769512
"16",493688.871560624,5485513756.21263,0.282826759148882,0.531814590951472,0.473172823535406
