"District","District Perimeter","District Area","Compactness Polsby Popper","Compactness Schwartzberg","Compactness Reock"
"1",335273.477516093,3552048355.17067,0.397091266344673,0.630151780402684,0.370013635931737
"2",910658.988917158,16610427331.7241,0.251697621776159,0.501694749599952,0.402789578650413
"3",429297.968007261,4778448538.51274,0.325821029489103,0.570807348839433,0.534032534409048
"4",818714.159884231,15995662534.4377,0.299879994176505,0.54761299671986,0.466468892265482
"5",578689.205211208,8928249097.0351,0.335031313655127,0.578818895385359,0.486535917019871
"6",224012.229769001,1089779109.38804,0.272900847598877,0.522399126721013,0.394824546782001
"7",445233.535575045,3968567036.78552,0.251575212238337,0.50157273873122,0.383530541771515
"8",649189.197315853,5073184235.12735,0.151268301106594,0.388932257734678,0.159028667970058
"9",486463.30662263,7120914036.94456,0.378133741634977,0.614925801731377,0.216588634477345
"10",1032954.9621587,12030178997.2047,0.141683468705497,0.376408645896315,0.194715915632588
"11",1214079.57172134,14038972556.9744,0.119688076019314,0.345959645073402,0.137700914136593
"12",354130.461482327,3325059975.70685,0.33318295571933,0.577220023664573,0.329287122098272
"13",278773.606989998,1662647709.00748,0.268847989794221,0.518505534969706,0.340566111712048
"14",457605.538675104,5072506163.0986,0.304403683014059,0.551727906684136,0.281561671662785
"15",206775.576283391,450678009.912243,0.13245786546058,0.363947613621219,0.157228743896442
"16",343083.07306135,3078552225.87279,0.328668291016134,0.573295989011029,0.42366061257891
