"District","District Perimeter","District Area","Compactness Polsby Popper","Compactness Schwartzberg","Compactness Reock"
"1",475543.130706748,4927113407.56946,0.273793161981587,0.523252483970776,0.326709466136678
"2",1312586.37610298,20075034249.6121,0.146423362032164,0.38265305700094,0.424832012942834
"3",290975.568120857,1627978149.27794,0.241626957769046,0.491555650734529,0.322715735643973
"4",922859.663184435,18788371545.9455,0.277221989442578,0.526518745575671,0.395418251950984
"5",459071.035684784,3537082039.60594,0.210909048275734,0.459248351413191,0.370012101099697
"6",500525.54188293,2330246165.82004,0.116885106561594,0.341884639259493,0.178503057152435
"7",462893.594425281,4244005403.1225,0.24889917101379,0.498897956513945,0.390127198089397
"8",593134.995019934,7738995022.5443,0.276431375614705,0.525767415892907,0.592191268620876
"9",905397.049500897,13316656122.6815,0.204139430711426,0.451817917652041,0.374727039067383
"10",589729.59890788,8151610294.55186,0.29454212885641,0.542717356325012,0.532384295687292
"11",496384.222362062,4840008761.94886,0.246842578286902,0.496832545519013,0.327803403508007
"12",597561.20128158,6574975085.09831,0.231387126170448,0.48102715741468,0.304755324637745
"13",530061.5839772,5147135500.35874,0.230209268751317,0.479801280481115,0.378285697534482
"14",400155.31606654,3696161621.21129,0.290070548075498,0.538581978973951,0.33789226564359
"15",148526.313793667,438073846.055599,0.249545868704942,0.49954566228218,0.392271456722624
"16",210721.333963556,1342428696.56803,0.379912932528522,0.616370775206387,0.491021007870814
