"District","District Perimeter","District Area","Compactness Polsby Popper","Compactness Schwartzberg"
"1",245002.428392202,1125783489.27745,0.23568066833985,0.48546953389461
"10",884299.585675362,15692266540.2822,0.252171903774969,0.502167206988836
"11",392660.468922224,3815069884.07282,0.310941006464195,0.55762084471816
"12",297917.336913051,1072777304.73227,0.151889547010415,0.389730095079165
"13",630886.724985284,6132499785.37196,0.193617508565857,0.440019895647751
"14",485820.862878321,4253297632.40665,0.226455731160973,0.47587365041676
"15",697404.973498507,9462947525.29041,0.244492879499304,0.494462212407889
"16",591051.396169829,12221345161.5524,0.439620948326054,0.663039175559072
"2",603102.918941208,7186871519.08034,0.248294376866687,0.498291457750067
"3",313364.801692358,2291667974.10995,0.293265606544724,0.541540032264212
"4",715854.167110511,7244312440.89527,0.177647018091035,0.421481930918793
"5",270363.071565035,1582575190.18514,0.272069258851252,0.521602587082591
"6",617245.266495385,6854357360.6039,0.226079441149564,0.475478118476092
"7",1020357.02831717,18863052660.2987,0.227676140421058,0.477154210314714
"8",770915.245869587,13579158306.5147,0.287123967440123,0.535839497835054
"9",443664.635064846,4586028398.69512,0.292777015674985,0.541088731794504
