"District","District Perimeter","District Area","Compactness Polsby Popper","Compactness Schwartzberg"
"1",634351.045978777,8938577049.88234,0.279137980072881,0.528335102063908
"10",631273.428094936,5709330183.75548,0.180036269617853,0.424306810713489
"11",735089.506756074,7661720721.89321,0.178178678995018,0.422112163997933
"12",469538.047750836,3964554894.12004,0.225976209607861,0.475369550568672
"13",859634.638827427,10496506482.0198,0.178495317775494,0.422487062258117
"14",355691.028429951,2656300577.2145,0.263840376706022,0.5136539464523
"15",197190.151567292,1178966561.87432,0.381013979288172,0.617263298186578
"16",423215.343061327,5442730105.75642,0.381859724598103,0.617947995059538
"2",803531.333464926,16710661509.652,0.325235447253737,0.57029417606507
"3",537685.589971217,5688692704.36241,0.247266649099476,0.49725913676822
"4",295720.409953742,1867379369.11157,0.268336543507939,0.518012107491648
"5",236105.086570791,1077835083.10374,0.242969350459715,0.492919212913957
"6",851609.937544369,19101316889.3423,0.330972364272282,0.575301976593408
"7",385920.500710096,3615269290.58158,0.30503861258599,0.552303007945811
"8",324141.035376648,2773363424.16098,0.331702402923633,0.575936110105655
"9",968640.51071047,19080806326.2522,0.255553204355422,0.505522704094902
