"District","District Perimeter","District Area","Compactness Polsby Popper","Compactness Schwartzberg"
"1",429770.775306643,5378042261.36766,0.365898235335714,0.604895226742379
"10",428367.424920416,4238044802.16293,0.29023015401756,0.538730130972419
"11",866436.322243486,13069152977.4765,0.218768105075629,0.467726528086262
"12",293166.734637056,1136496799.62995,0.166168500791498,0.407637707764503
"13",336192.521148346,3282285658.5243,0.364930484052493,0.604094764132659
"14",904967.769984198,13651318509.2072,0.209468266723736,0.457677033205443
"15",200937.259946019,833114302.41357,0.259294618134187,0.509209797759418
"16",938347.456261003,14318678406.1174,0.204355079464681,0.452056500301324
"2",623827.825418166,8272930472.3666,0.267140511950546,0.516856374586351
"3",825906.99033721,8850057602.33912,0.163039816389291,0.403781892101776
"4",1144962.77325654,11937249725.46,0.114427763687105,0.338271730546767
"5",303934.115024023,2379747770.63857,0.32372921372164,0.568972067611091
"6",219654.542076822,1136259962.42961,0.295942400179554,0.544005882486168
"7",751588.781813523,7006937481.54784,0.155875381055878,0.39481056350594
"8",675172.068491185,9476186346.7991,0.261224869886259,0.511101623834496
"9",825468.531355652,10997508095.1925,0.202816419291698,0.45035143975755
