"District","District Perimeter","District Area","Compactness Polsby Popper","Compactness Schwartzberg"
"1",355049.443225237,1897724140.03282,0.189175667144362,0.434943291871897
"10",544730.725616612,6921634400.38097,0.293126292756413,0.541411389570273
"11",400961.800655661,5997870251.77827,0.468814387567107,0.6847002172974
"12",389258.420578066,3718271847.33433,0.308372023161252,0.555312545474395
"13",311860.734841427,1795313649.22454,0.231968386108845,0.481630964649123
"14",516815.250328829,5704742457.99803,0.268395522201144,0.518069032273831
"15",428799.282325806,6556641740.76127,0.448108537777812,0.669409095977798
"16",675926.171686415,9896804149.21066,0.27221140360495,0.52173882700538
"2",377912.172612246,2459858905.89207,0.216440385925393,0.465231540123188
"3",1011055.63325871,19367809036.1764,0.238089504867323,0.487944161628483
"4",775853.074733764,9074907965.1026,0.189449351103604,0.435257798440882
"5",850247.142910406,11244559848.8138,0.19546183059811,0.442110654246321
"6",306491.797186084,1445216073.60462,0.193332530618754,0.439695952470288
"7",693049.017694622,8679110899.95061,0.227068660042059,0.476517219040465
"8",468941.883746713,4755673678.74067,0.271758954807596,0.521305049666312
"9",753337.987109841,16447872129.6066,0.364199923643311,0.603489787521969
