"District","District Perimeter","District Area","Compactness Polsby Popper","Compactness Schwartzberg"
"1",686750.106862761,6957454615.30101,0.185379955988126,0.43055772666174
"10",778186.13308532,14418333789.4893,0.299197502613556,0.546989490405031
"11",442117.126782595,4212595909.05363,0.270822652732207,0.520406238175723
"12",514839.815513808,7396135811.35634,0.350647292021306,0.592154787214716
"13",458586.029597145,5265112900.9273,0.314612455174538,0.560903249388464
"14",389658.046275141,2517534063.98859,0.20836171445327,0.456466553488062
"15",608219.092961416,11568266177.3302,0.39296877085553,0.626872212540586
"16",309590.855418352,2083575007.47113,0.273176134329132,0.522662543453356
"2",1076231.53832266,21526081319.7638,0.23354114834045,0.483260952633719
"3",132805.760714597,706775475.844706,0.503567285305661,0.709624749642838
"4",726003.25641184,8362982562.42829,0.199385658921255,0.446526213028144
"5",666716.935309712,6506134340.18741,0.183928876006821,0.428869299445438
"6",550894.089902352,5602831184.15968,0.231996362074434,0.481660006720958
"7",707104.446848554,9264770652.17346,0.232850620739326,0.482545977850118
"8",210865.367343735,1226645498.60371,0.346671723714904,0.588788352224213
"9",453957.468088897,8348781865.50697,0.509099473497652,0.713512069622969
