"District","District Perimeter","District Area","Compactness Polsby Popper","Compactness Schwartzberg","Compactness Reock"
"1",667966.781736868,10187408518.8071,0.286922003778894,0.535651009313801,0.481050301338701
"10",1218733.31531834,20062846171.8203,0.169740329526309,0.411995545517556,0.243074650680693
"11",293435.45555886,1604531159.70623,0.234170855860697,0.483912033184439,0.370873554112916
"12",425274.111845967,2652139433.96961,0.184275808152706,0.429273581941291,0.365855011946069
"13",475366.800198846,4266745246.11025,0.237273306836731,0.487107079436063,0.362313534089722
"14",834730.214392831,10446392480.8399,0.188401317342559,0.434052205780088,0.509330752783535
"15",435554.4181217,4791302371.58372,0.317379298954335,0.563364268439466,0.367453753182969
"16",294541.446492779,1359674992.65072,0.196948257806682,0.443788528250429,0.318918305882992
"2",1062030.20953462,16514479276.1798,0.183992875794309,0.428943907515085,0.199670093949391
"3",437550.139590516,1450038524.39259,0.0951773812390425,0.308508316320715,0.088084751882128
"4",935753.347486043,7951812854.94558,0.114117759288645,0.337813201767848,0.274099407711588
"5",650172.729932722,11836777969.392,0.351872936472601,0.593188786536463,0.440477631687993
"6",593433.297908274,11416864988.243,0.40739238501875,0.638272970615825,0.46638169368298
"7",178055.433256484,672034478.234709,0.26637346367008,0.516113808834912,0.364662591887238
"8",655428.928702488,5259902709.69887,0.153863767868189,0.392254723194238,0.226488043887058
"9",555774.923753803,5491059996.652,0.223392278334573,0.472643923408069,0.372269299780451
