"District","District Perimeter","District Area","Compactness Polsby Popper","Compactness Schwartzberg","Compactness Reock"
"1",304201.258702374,1407443145.54673,0.19112553359249,0.437179063534028,0.292675853703065
"10",585559.249165187,4048819132.50131,0.148387237626196,0.385210640593165,0.30145661009537
"11",520468.951259502,4422646948.95244,0.205164625887797,0.452951019303188,0.331123241282241
"12",990600.617133493,16548543412.3532,0.21192024588972,0.460347961752542,0.313673510839328
"13",916037.782555885,17359131588.8881,0.259962728007613,0.509865401853874,0.379828186869959
"14",566757.866627061,7566485298.95209,0.296011744854021,0.544069613977863,0.459948995892741
"15",790458.720529424,9477779047.1099,0.190615430288887,0.436595270575491,0.305643787414595
"16",158708.948650276,636665647.68579,0.317627760136052,0.563584740865162,0.528695679072499
"2",261462.526172787,1068668460.27199,0.196441820589875,0.443217577031728,0.316709319431937
"3",375669.240908062,5145859086.64969,0.458201470684736,0.676905806360631,0.620051908625609
"4",734688.210165809,5228299849.00927,0.121720635105909,0.348884845050496,0.272247303996081
"5",765116.110597708,12967526186.3539,0.27836351009853,0.527601658544143,0.48695974746697
"6",863497.360144936,13057341553.0699,0.220060755762825,0.469106337372269,0.451306991449527
"7",572641.984604011,9358096137.39679,0.358617099888473,0.598846474389282,0.296808763642117
"8",442899.660697934,6902211318.62698,0.442168113248407,0.664957226630711,0.330618643298203
"9",229500.478037346,768494357.160064,0.183351031680107,0.428195086006492,0.513122562487836
