"District","District Perimeter","District Area","Compactness Polsby Popper","Compactness Schwartzberg","Compactness Reock"
"1",828009.063503008,11233502616.9866,0.205899301602356,0.453761282617144,0.238698476358958
"10",512858.890774185,3285260257.1389,0.156958148291076,0.39617943951078,0.186272563788142
"11",823844.832945189,9057358790.71203,0.167695184423603,0.409506024892923,0.23994437034417
"12",172533.416662937,655103274.518615,0.276549698214259,0.525879927563564,0.486440188780585
"13",313742.075422832,2413789123.77611,0.308151055675768,0.555113552055585,0.682045254666539
"14",988724.457319071,18764490523.2297,0.241210432376381,0.49113178717772,0.273545104018759
"15",690670.907203905,8939935204.20179,0.23550596384249,0.485289567003547,0.346769666558404
"16",687124.604144972,7163070229.38849,0.190650554892486,0.436635494311315,0.310410420123251
"2",520045.033709372,6053083989.47406,0.281257853082038,0.530337489794978,0.377608536075047
"3",475692.239327003,7173128509.22296,0.398351395662133,0.631150850163519,0.313355475770309
"4",820261.845805206,16136918789.1326,0.301387652263935,0.548987843457335,0.376921876751251
"5",508849.855072718,3441112586.96528,0.167004985426114,0.40866243456686,0.299885703536378
"6",241271.681622549,1252540022.6363,0.270388846784055,0.519989275643311,0.593743752475567
"7",852228.533205383,9373844317.07832,0.162186782863494,0.402724201983806,0.279925854939673
"8",382712.48450536,3055749186.22113,0.26216958678021,0.512024986480357,0.473867713431598
"9",849501.49069114,7965123752.8373,0.138699246325605,0.372423477140748,0.171459895919189
