"District","Population","White %","Black %","Asian %","NHPI %","AIAN %","Two or More Races %","Other %","Non-White %","White % Minus Non-White %","Race Score","Population Target Ratio"
"1",713292,92.2758141125934,4.71223566225333,0.647140301587569,0.0243939368449387,0.213376849873544,1.69944426686406,0.42759486998312,7.72418588740656,84.5516282251869,4,98.9266072286717
"2",723212,90.774627633391,5.55812127011167,1.47273551876905,0.0282074965570262,0.174637588978059,1.54574315691664,0.445927335276516,9.22537236660897,81.5492552667821,4,100.302413972205
"3",715330,64.2996938475948,31.164637300267,2.14138928885969,0.0125816056924776,0.137558888904422,1.80266450449443,0.441474564187158,35.7003061524052,28.5993876951896,1,99.2092578479581
"4",725015,83.409308772922,11.3405929532492,1.95678710095653,0.021792652565809,0.189237464052468,2.04023365033827,1.04204740591574,16.5906912270781,66.8186175458439,3,100.55247239545
"5",714546,90.0136590226521,6.92425680082178,0.476946200804427,0.0404452617466195,0.198167787658177,1.71143635259312,0.635088573723735,9.98634097734785,80.0273180453043,4,99.1005247343563
"6",722855,78.2466746442924,15.9290590782384,1.74073638558217,0.0343084021000062,0.248459234562948,2.52097585269522,1.27978640252886,21.7533253557076,56.4933492885849,2,100.252901572261
"7",726917,71.1412719746546,22.3271707774065,1.44321841420685,0.0246245444803189,0.248033819541983,2.20933063884873,2.60634983086102,28.8587280253454,42.2825439493092,1,100.816261148091
"8",721742,83.4432525750199,10.369772023798,1.12699551917444,0.0193975132388028,0.269209773021384,2.83550077451499,1.93587182123252,16.5567474249801,66.8865051500398,3,100.098539384202
"9",714031,81.8702549329091,10.4914212408145,3.02213769430179,0.0710053204972893,0.257971992812637,2.35143852297729,1.93577029568744,18.1297450670909,63.7405098658182,3,99.0290992834571
"10",725338,79.4979719799597,15.8961753003427,1.19268534117887,0.0635565763823211,0.19880386798982,2.04125524927689,1.10955168486967,20.5020280200403,58.9959439599194,2,100.597269328733
"11",716651,87.4253995319898,7.01401379472016,1.25249249634759,0.0233028349922068,0.247958908869171,2.1608844472414,1.87594798583969,12.5746004680102,74.8507990639795,4,99.3924675967694
"12",722935,88.6926210516852,5.093680621356,3.11065310159281,0.026005104193323,0.166958301922026,1.9241010602613,0.985980758989397,11.3073789483148,77.3852421033703,4,100.263996787935
"13",715951,84.0786590143739,10.4240373992075,1.56365449590824,0.0562887683654328,0.263146500249319,2.5299217404543,1.08429208144133,15.9213409856261,68.1573180287478,3,99.2953844596249
"14",725055,89.9209025522202,6.63011771520781,0.788353986938922,0.0186192771582845,0.295701705387867,1.85475584610823,0.491548916978712,10.0790974477798,79.8418051044403,4,100.558020003287
"15",720873,78.7826704565159,15.5611321272957,2.5782627453102,0.0685280208857871,0.199757793675169,1.82154138107545,0.988107475241825,21.2173295434841,57.5653409130318,2,99.9780176039466
"16",732761,79.3010272107822,15.6633609048517,2.13630365153167,0.0312516632298935,0.198837001423384,1.92641256835448,0.742806999826683,20.6989727892178,58.6020544215645,2,101.626766653052
"Ohio Total",11536504,82.6891491564515,12.2019721052409,1.66630202702656,0.0352446460383492,0.219234527201655,2.06097965206791,1.12711788597308,17.3108508435485,65.3782983129031,3,NA
