"","SOURCE_TRACTID","NEIGHBOR_TRACTID"
"198","39003013900","39153520202"
"199","39003013900","39153530101"
"200","39003014000","39045032100"
"201","39003014000","39045032600"
"202","39003014000","39149971900"
"203","39003014000","39153501100"
"204","39003014000","39153530101"
"205","39003014100","39151711211"
"206","39003014100","39151711321"
"207","39003014100","39151711322"
"208","39003014100","39151711402"
"209","39003014100","39151711411"
"210","39003014100","39151714302"
"211","39003014100","39151714600"
"212","39003014100","39151714801"
"213","39003014100","39151714802"
"214","39005970100","39035152501"
"215","39005970100","39035154501"
"216","39005970100","39095007901"
"217","39005970100","39095008000"
"218","39005970100","39095008302"
"219","39005970100","39151710600"
"220","39005970100","39153533400"
"221","39005970200","39029951200"
"222","39005970200","39029951600"
"223","39005970200","39029951900"
"224","39005970200","39095007902"
"225","39005970200","39095008000"
"226","39005970200","39095008600"
"227","39005970200","39153533400"
"228","39005970200","39165030503"
"229","39005970300","39095007901"
"230","39005970300","39095008000"
"231","39005970300","39095008201"
"232","39005970300","39095008202"
"233","39005970300","39165030503"
"234","39005970400","39095007901"
"235","39005970400","39095007902"
"236","39005970400","39095008201"
"237","39005970400","39095008301"
"238","39005970400","39095008302"
"239","39005970400","39095008600"
"240","39005970500","39095007902"
"241","39005970500","39095008000"
"242","39005970500","39095008202"
"243","39005970500","39095008203"
"244","39005970500","39095008301"
"245","39005970600","39095007902"
"246","39005970600","39095008201"
"247","39005970600","39095008203"
"248","39005970600","39155921200"
"249","39005970600","39165030503"
"250","39005970700","39095008201"
"251","39005970700","39095008202"
"252","39005970700","39095008301"
"253","39005970700","39095008400"
"254","39005970700","39155921200"
"255","39005970800","39095008000"
"256","39005970800","39095008201"
"257","39005970800","39095008203"
"258","39005970800","39095008302"
"259","39005970800","39095008400"
"260","39005970900","39035151600"
"261","39005970900","39035152501"
"262","39005970900","39035152604"
"263","39005970900","39095008000"
"264","39005970900","39095008301"
"265","39005970900","39095008400"
"266","39005970900","39095008500"
"267","39005970900","39095008600"
"268","39005970900","39153531601"
"269","39005971000","39095008203"
"270","39005971000","39095008301"
"271","39005971000","39095008302"
"272","39005971000","39095008500"
"273","39005971000","39155920800"
"274","39005971000","39155921200"
"275","39005971000","39165032400"
"276","39005971100","39095008302"
"277","39005971100","39095008400"
"278","39005971100","39099812002"
"279","39005971100","39099812100"
"280","39005971100","39153531601"
"281","39005971100","39165032400"
"282","39007000101","39019720200"
"283","39007000101","39023000902"
"284","39007000101","39023002000"
"285","39007000101","39023002606"
"286","39007000101","39049004000"
"287","39007000102","39023002606"
"288","39007000102","39035141400"
"289","39007000102","39049004000"
"290","39007000103","39019720200"
"291","39007000103","39035141400"
"292","39007000200","39023000902"
"293","39007000200","39025040303"
"294","39007000200","39035141400"
"295","39007000200","39049004000"
"296","39007000300","39023000902"
"297","39007000300","39023002000"
"298","39007000300","39023003301"
"299","39007000300","39035134205"
"300","39007000300","39043040800"
"301","39007000300","39049004000"
"302","39007000400","39025040303"
"303","39007000400","39035123200"
"304","39007000400","39035131102"
"305","39007000400","39035134205"
"306","39007000400","39049004000"
"307","39007000500","39023003301"
"308","39007000500","39025040303"
"309","39007000500","39035124201"
"310","39007000500","39043040800"
"311","39007000601","39035121300"
"312","39007000601","39035124201"
"313","39007000601","39035131102"
"314","39007000601","39043040800"
"315","39007000602","39035121300"
"316","39007000602","39035123200"
"317","39007000602","39043040800"
"318","39007000602","39049004000"
"319","39007000603","39035123200"
"320","39007000603","39035124201"
"321","39007000603","39035131102"
"322","39007000603","39035137102"
"323","39007000603","39045032701"
"324","39007000603","39047926300"
"325","39007000603","39049004000"
"326","39007000701","39023003301"
"327","39007000701","39035119900"
"328","39007000701","39035121300"
"329","39007000701","39035123200"
"330","39007000701","39035134205"
"331","39007000701","39035137102"
"332","39007000702","39023003301"
"333","39007000702","39035119900"
"334","39007000702","39035121300"
"335","39007000702","39035124201"
"336","39007000702","39045031300"
"337","39007000702","39045032701"
"338","39007000702","39049000500"
"339","39007000703","39023003301"
"340","39007000703","39035124201"
"341","39007000703","39035137102"
"342","39007000704","39023000902"
"343","39007000704","39025040303"
"344","39007000704","39035119900"
"345","39007000704","39035124201"
"346","39007000704","39035134205"
"347","39007000704","39035137102"
"348","39007000704","39045031300"
"349","39007000801","39021011501"
"350","39007000801","39035121300"
"351","39007000801","39045032701"
"352","39007000801","39049004000"
"353","39007000802","39021011501"
"354","39007000802","39035121300"
"355","39007000802","39035137102"
"356","39007000802","39047926300"
"357","39007000802","39049000500"
"358","39007000900","39045032701"
"359","39007000900","39047926300"
"360","39007000900","39049000500"
"361","39007000900","39049004000"
"362","39007000900","39129021401"
"363","39007000900","39139001900"
"364","39007000900","39139002102"
"365","39007001001","39035140400"
"366","39007001001","39045031300"
"367","39007001001","39049000500"
"368","39007001001","39049001902"
"369","39007001001","39049005500"
"370","39007001001","39049006230"
"371","39007001002","39021011501"
"372","39007001002","39035137102"
"373","39007001002","39045031300"
"374","39007001002","39045032701"
"375","39007001002","39049001121"
"376","39007001002","39139001900"
"377","39007001101","39035140400"
"378","39007001101","39045030100"
"379","39007001101","39045031300"
"380","39007001101","39049001121"
"381","39007001102","39023000902"
"382","39007001102","39023003301"
"383","39007001102","39035137102"
"384","39007001102","39045030100"
"385","39007001102","39049000500"
"386","39007001102","39049001121"
"387","39007001102","39049001902"
"388","39007001200","39023002000"
"389","39007001200","39023003301"
"390","39007001200","39025040303"
"391","39007001200","39035141400"
"392","39007001200","39045030100"
"393","39007001200","39045031300"
"394","39007001301","39007000703"
"395","39007001301","39009973200"
"396","39007001301","39035140400"
"397","39007001301","39045030100"
"398","39007001302","39023000902"
"399","39007001302","39045031300"
"400","39007001302","39049001902"
"401","39007001302","39049002750"
"402","39007001400","39003012600"
"403","39007001400","39007000602"
"404","39007001400","39007000701"
"405","39007001400","39007000703"
"406","39007001400","39049001121"
"407","39007001400","39049001902"
"408","39007001400","39049002200"
"409","39007001400","39049002750"
"410","39007001400","39049005500"
"411","39007990000","39019720200"
"412","39007990000","39021011501"
"413","39007990000","39023002000"
"414","39007990000","39025040303"
"415","39007990000","39035121300"
"416","39007990000","39035131102"
"417","39007990000","39035141400"
"418","39007990000","39043040800"
"419","39007990000","39047926300"
"420","39007990000","39129021401"
