"","SOURCE_TRACTID","39175938500","NEIGHBOR_TRACTID"
"163","39003013100",0,"39151711202"
"164","39003013100",0,"39151711412"
"165","39003013100",0,"39151714600"
"166","39003013200",0,"39151711202"
"167","39003013200",0,"39151711412"
"168","39003013200",0,"39151714302"
"169","39003013200",0,"39151714701"
"170","39003013300",0,"39151711412"
"171","39003013300",0,"39151714200"
"172","39003013300",0,"39151714600"
"173","39003013300",0,"39151714702"
"174","39003013300",0,"39153506600"
"175","39003013400",0,"39151711412"
"176","39003013400",0,"39151714100"
"177","39003013400",0,"39151714701"
"178","39003013400",0,"39151714801"
"179","39003013400",0,"39151714901"
"180","39003013400",0,"39153506600"
"181","39003013600",0,"39151711322"
"182","39003013600",0,"39151711411"
"183","39003013600",0,"39151714100"
"184","39003013600",0,"39151714702"
"185","39003013600",0,"39151714802"
"186","39003013700",0,"39151711411"
"187","39003013700",0,"39151714801"
"188","39003013700",0,"39151714901"
"189","39003013800",0,"39151711411"
"190","39003013800",0,"39151711412"
"191","39003013800",0,"39151714702"
"192","39003013800",0,"39151714802"
"193","39003013800",0,"39153506200"
"194","39003013900",0,"39149971600"
"195","39003013900",0,"39149971800"
"196","39003013900",0,"39153505700"
"197","39003013900",0,"39153520104"
"198","39003013900",0,"39153520105"
"199","39003013900",0,"39153520500"
"200","39003014000",0,"39045032000"
"201","39003014000",0,"39045032500"
"202","39003014000",0,"39149971700"
"203","39003014000",0,"39151714902"
"204","39003014000",0,"39153520500"
"205","39003014100",0,"39151711122"
"206","39003014100",0,"39151711311"
"207","39003014100",0,"39151711312"
"208","39003014100",0,"39151711321"
"209","39003014100",0,"39151711322"
"210","39003014100",0,"39151714100"
"211","39003014100",0,"39151714200"
"212","39003014100",0,"39151714701"
"213","39003014100",0,"39151714702"
"214","39005970100",0,"39035152301"
"215","39005970100",0,"39035154200"
"216","39005970100",0,"39095007901"
"217","39005970100",0,"39095008000"
"218","39005970100",0,"39095008301"
"219","39005970100",0,"39151710600"
"220","39005970100",0,"39153533102"
"221","39005970200",0,"39029951000"
"222","39005970200",0,"39029951200"
"223","39005970200",0,"39029951700"
"224","39005970200",0,"39095007902"
"225","39005970200",0,"39095008000"
"226","39005970200",0,"39095008600"
"227","39005970200",0,"39153533102"
"228","39005970200",0,"39165030101"
"229","39005970300",0,"39095007901"
"230","39005970300",0,"39095008000"
"231","39005970300",0,"39095008100"
"232","39005970300",0,"39095008201"
"233","39005970300",0,"39165030101"
"234","39005970400",0,"39095007901"
"235","39005970400",0,"39095007902"
"236","39005970400",0,"39095008100"
"237","39005970400",0,"39095008203"
"238","39005970400",0,"39095008301"
"239","39005970400",0,"39095008600"
"240","39005970500",0,"39095007902"
"241","39005970500",0,"39095008000"
"242","39005970500",0,"39095008201"
"243","39005970500",0,"39095008202"
"244","39005970500",0,"39095008203"
"245","39005970600",0,"39095007902"
"246","39005970600",0,"39095008100"
"247","39005970600",0,"39095008202"
"248","39005970600",0,"39155921000"
"249","39005970600",0,"39165030101"
"250","39005970700",0,"39095008100"
"251","39005970700",0,"39095008201"
"252","39005970700",0,"39095008203"
"253","39005970700",0,"39095008400"
"254","39005970700",0,"39155921000"
"255","39005970800",0,"39095008000"
"256","39005970800",0,"39095008100"
"257","39005970800",0,"39095008202"
"258","39005970800",0,"39095008301"
"259","39005970800",0,"39095008400"
"260","39005970900",0,"39035151200"
"261","39005970900",0,"39035152301"
"262","39005970900",0,"39035152501"
"263","39005970900",0,"39095008000"
"264","39005970900",0,"39095008203"
"265","39005970900",0,"39095008400"
"266","39005970900",0,"39095008500"
"267","39005970900",0,"39095008600"
"268","39005970900",0,"39153531601"
"269","39005971000",0,"39095008202"
"270","39005971000",0,"39095008203"
"271","39005971000",0,"39095008301"
"272","39005971000",0,"39095008500"
"273","39005971000",0,"39155920600"
"274","39005971000",0,"39155921000"
"275","39005971000",0,"39165032201"
"276","39005971100",0,"39095008301"
"277","39005971100",0,"39095008400"
"278","39005971100",0,"39099812001"
"279","39005971100",0,"39099812002"
"280","39005971100",0,"39153531601"
"281","39005971100",0,"39165032201"
"282","39007000101",0,"39019720300"
"283","39007000101",0,"39023001000"
"284","39007000101",0,"39023002100"
"285","39007000101",0,"39023002701"
"286","39007000102",0,"39023002701"
"287","39007000102",0,"39035141500"
"288","39007000103",0,"39019720300"
"289","39007000103",0,"39035141500"
"290","39007000200",0,"39023001000"
"291","39007000200",0,"39025040401"
"292","39007000200",0,"39035141500"
"293","39007000300",0,"39023001000"
"294","39007000300",0,"39023002100"
"295","39007000300",0,"39023003302"
"296","39007000300",0,"39035134206"
"297","39007000300",0,"39043041000"
"298","39007000400",0,"39025040401"
"299","39007000400",0,"39035123400"
"300","39007000400",0,"39035131103"
"301","39007000400",0,"39035134206"
"302","39007000500",0,"39023003302"
"303","39007000500",0,"39025040401"
"304","39007000500",0,"39035124202"
"305","39007000500",0,"39043041000"
"306","39007000601",0,"39035121401"
"307","39007000601",0,"39035124202"
"308","39007000601",0,"39035131103"
"309","39007000601",0,"39043041000"
"310","39007000602",0,"39035121401"
"311","39007000602",0,"39035123400"
"312","39007000602",0,"39043041000"
"313","39007000603",0,"39035123400"
"314","39007000603",0,"39035124202"
"315","39007000603",0,"39035131103"
"316","39007000603",0,"39035137103"
"317","39007000603",0,"39045032900"
"318","39007000603",0,"39049000120"
"319","39007000701",0,"39023003302"
"320","39007000701",0,"39035120200"
"321","39007000701",0,"39035121401"
"322","39007000701",0,"39035123400"
"323","39007000701",0,"39035134206"
"324","39007000701",0,"39035137103"
"325","39007000702",0,"39023003302"
"326","39007000702",0,"39035120200"
"327","39007000702",0,"39035121401"
"328","39007000702",0,"39035124202"
"329","39007000702",0,"39045031600"
"330","39007000702",0,"39045032900"
"331","39007000702",0,"39049000720"
"332","39007000703",0,"39023003302"
