"District","Population","White %","Black %","Asian %","NHPI %","AIAN %","Two or More Races %","Other %","Non-White %","White % Minus Non-White %","Race Score","Population Target Ratio"
"1",716826,81.0182666365338,15.2953436398791,0.968993870200021,0.0290168046359926,0.201722593767525,1.89906616110465,0.587590293878849,18.9817333634662,62.0365332730677,3,99.4167383810555
"2",721741,88.7023184217053,6.2487789941267,1.52797194561484,0.0444757884060903,0.245655990168218,2.33892767627168,0.891871183707175,11.2976815782947,77.4046368434106,4,100.098400694006
"3",724320,76.5223934172741,16.8211563949636,2.71896399381489,0.0849072233267064,0.191489949193727,2.14946432516015,1.51162469626684,23.4776065827259,53.0447868345483,2,100.456082709285
"4",721309,78.9328845196719,16.1367735602911,2.00136141376303,0.0546229147286392,0.207955259119185,1.83610630118299,0.830296031243198,21.0671154803281,57.8657690393437,2,100.038486529368
"5",719759,72.4823169977729,17.4470899287122,4.96499522756923,0.0612705086007955,0.217989632640926,2.81747084788103,2.00886685682291,27.5176830022271,44.9646339955457,1,99.8235167256909
"6",725826,76.9368967218038,16.5020266565265,1.95129411181192,0.0512519529474006,0.254468701865185,2.49453725824096,1.80952459680419,23.0631032781962,53.8737934436077,2,100.664950144342
"7",717742,81.7654533244536,12.256353954485,1.29350100732575,0.0234067394690571,0.277258402044189,2.527788536828,1.85623803539433,18.2345466755464,63.5309066489073,3,99.5437786005188
"8",721628,92.273581402052,3.29380234691559,1.19452127689059,0.0227263908828371,0.208971935678771,1.78554601539852,1.22085063218168,7.72641859794797,84.5471628041041,4,100.082728701867
"9",724555,87.4436033151383,8.76924457080553,0.534811021937603,0.0213924408775041,0.193912125373505,1.84996308078752,1.18707344508008,12.5563966848617,74.8872066302765,4,100.488674905327
"10",717702,86.5487347116213,9.28825612858819,1.45157739563217,0.0215967072684763,0.199386374846385,2.0541951952203,0.436253486823222,13.4512652883787,73.0974694232425,4,99.538230992682
"11",719712,60.2938397581255,34.542428082344,2.68162820683829,0.0134776132675292,0.131163576541728,1.74611511271175,0.59134765017118,39.7061602418745,20.5876795162509,1,99.8169982864826
"12",724568,71.459131510086,20.6347782402756,1.75221649313798,0.0259464950149606,0.272990250742511,2.57587969659162,3.27905731415133,28.540868489914,42.918263020172,1,100.490477877874
"13",722029,94.6833160440924,2.45945799960943,0.700941374930924,0.0184203127575208,0.291816533684935,1.5772219675387,0.268825767386074,5.31668395590759,89.3666320881848,5,100.138343470431
"14",720194,92.2114041494375,4.72511573270535,0.561376517993763,0.0201334640388562,0.216469451286737,1.92045476635462,0.345045918183156,7.78859585056249,84.422808298875,4,99.8838469609164
"15",720238,91.040461625185,4.65415598732641,1.55712417284287,0.0240198378869207,0.187021512333423,1.78163329343911,0.755583570986257,8.959538374815,82.08092325037,4,99.8899493295369
"16",718355,90.7761482832304,6.12315637811388,0.795985271905952,0.0469127381308684,0.208949614048764,1.61702779266519,0.431819921904908,9.22385171676956,81.5522965664609,4,99.6287956906182
"Ohio Total",11536504,82.6891491564515,12.2019721052409,1.66630202702656,0.0352446460383492,0.219234527201655,2.06097965206791,1.12711788597308,17.3108508435485,65.3782983129031,3,NA
