"District","Population","VAP_MOD","Votes Democratic","Votes Republican","Votes Green","Votes Libertarian","Votes Cast","Votes Two Parties","% Votes Democratic (2P)","% Votes Republican (2P)","% Votes Two Parties","Turnout % (POP)","Turnout % (VAP)","% Margin (2P)","Winner"
"1",709305,572765,152701.55,208901.17,1215.74,4604.52,367422.98,361602.72,42.2290932988557,57.7709067011443,98.4159237944235,51.8004215393942,64.1489930425218,-15.5418134022885,"Republian"
"2",720935,538318,95436.35,227324.95,1038.05,3294.37,327093.72,322761.3,29.5687091358227,70.4312908641773,98.6754805320017,45.3707643546228,60.7621740309631,-40.8625817283547,"Republian"
"3",717654,650846,284812.32,119348.73,1397.43,4799.43,410357.91,404161.05,70.470006944014,29.529993055986,98.4898889849595,57.1804671889239,63.0499242524345,40.9400138880281,"Democrat"
"4",727985,594766,169062.71,228276.1,1145.88,5399.05,403883.74,397338.81,42.5487532919324,57.4512467080676,98.3795014872349,55.4796788395365,67.9063261854242,-14.9024934161353,"Republian"
"5",713916,550103,141713,206228.2,1145.02,4703.67,353789.89,347941.2,40.7290082347247,59.2709917652753,98.3468464856359,49.556234907188,64.3133904014339,-18.5419835305506,"Republian"
"6",724218,568886,142206.06,220136.53,1102.17,4192.29,367637.05,362342.59,39.2463000278272,60.7536999721728,98.5598676738376,50.7633129803457,64.6240283642065,-21.5073999443455,"Republian"
"7",718528,578294,126952.12,261140.4,984.69,4796.38,393873.59,388092.52,32.7118183055937,67.2881816944063,98.5322524417034,54.8167350472076,68.1095757521261,-34.5763633888126,"Republian"
"8",731927,597403,219306.74,188527.84,1163.54,5280.72,414278.84,407834.58,53.7734539332099,46.2265460667901,98.4444631543334,56.601114592029,69.3466286577068,7.54690786641979,"Democrat"
"9",710313,548559.982984293,159497.489620419,184320.52604712,1226.77846858639,4757.5412565445,349802.33539267,343818.015667539,46.3900907899625,53.6099092100375,98.2892281955713,49.246224606993,63.7673811876806,-7.21981842007507,"Republian"
"10",725572,545320.017015707,110895.920379581,229789.04395288,1181.54153141361,4596.5187434555,346463.02460733,340684.964332461,32.5508701556204,67.4491298443796,98.3322721720686,47.7503300302837,63.5338908891273,-34.8982596887591,"Republian"
"11",716534,579936,179430.9,199388.15,1212.17,3962.5,383993.72,378819.05,47.3658597686679,52.6341402313321,98.6524076487501,53.5904395325274,66.2131200684213,-5.26828046266412,"Republian"
"12",727063,559219.602894071,220277.021619275,103167.336836336,1286.5349507791,2690.11826588642,327421.011672277,323444.358455611,68.1035287401699,31.8964712598301,98.7854618137196,45.0333756046281,58.5496305883787,36.2070574803398,"Democrat"
"13",719054,567282.353419705,213640.849005725,178108.108900271,1098.53833684845,3236.75388972582,396084.25013257,391748.957905996,54.5351416242924,45.4648583757076,98.9054621017818,55.0840757624003,69.8213592834125,9.07028324858489,"Democrat"
"14",720166,566845.043686224,184637.089375,175002.374263393,1247.84671237245,3523.48784438776,364410.798195153,359639.463638393,51.3394963686875,48.6605036313125,98.6906714673683,50.6009445315598,64.2875512900968,2.67899273737501,"Democrat"
"15",720400,540190,98861.95,218969.25,1164.28,3661.06,322656.54,317831.2,31.1051746965056,68.8948253034944,98.5044964531015,44.7885258189894,59.730194931413,-37.7896506069889,"Republian"
"16",732934,581731,179705.12,206195.36,1195.23,4070.28,391165.99,385900.48,46.5677368424108,53.4322631575892,98.6538937089086,53.3698791432789,67.2417302842723,-6.86452631517845,"Republian"
