"District","Population","VAP_MOD","Votes Democratic","Votes Republican","Votes Green","Votes Libertarian","Votes Cast","Votes Two Parties","% Votes Democratic (2P)","% Votes Republican (2P)","% Votes Two Parties","Turnout % (POP)","Turnout % (VAP)","% Margin (2P)","Winner"
"1",713538,549532.982984293,153206.559620419,183106.73604712,1226.00846858639,4623.7012565445,342163.00539267,336313.295667539,45.5547138914991,54.445286108501,98.290373408891,47.9530179741892,62.2643255250158,-8.8905722170019,"Republian"
"2",722305,542363,97496,261509.42,1124.07,4629.88,364759.37,359005.42,27.1572501607357,72.8427498392643,98.42253538271,50.499355535404,67.2537341227186,-45.6854996785286,"Republian"
"3",714362,564759,153109.26,189427.89,1240.13,4576.77,348354.05,342537.15,44.6985852483446,55.3014147516554,98.3301758656172,48.7643589664624,61.6818944009746,-10.6028295033108,"Republian"
"4",727889,647321,259097.4,149614.8,1308.13,5321.98,415342.31,408712.2,63.3936055737998,36.6063944262002,98.4036998301473,57.0612153776194,64.1632683011983,26.7872111475997,"Democrat"
"5",720835,585587.050413845,212790.251773263,174695.251151242,1174.36799097065,5048.94427890645,393708.815194382,387485.502924505,54.9156678552493,45.0843321447507,98.4193109146402,54.6184376721971,67.2331833356186,9.83133571049851,"Democrat"
"6",722612,548535,87087.9199999999,251571.06,890.779999999999,3551.23,343100.99,338658.98,25.7155206691994,74.2844793308006,98.7053345430452,47.4806659728872,62.5486049203788,-48.5689586616011,"Republian"
"7",714512,566902,165425.08,218019.85,1105.07,5066.61,389616.61,383444.93,43.1418091771353,56.8581908228647,98.4159607569092,54.5290505967709,68.7273302969472,-13.7163816457294,"Republian"
"8",726532,581128.949586155,158367.618226737,219063.578848758,1088.98200902934,4547.39572109356,383067.574805618,377431.197075495,41.9593344307094,58.0406655692906,98.5286205095842,52.7254924498327,65.9178268572605,-16.0813311385812,"Republian"
"9",712076,534688,96989.29,226116.22,1125.25,3499.67,327730.43,323105.51,30.0178384454044,69.9821615545956,98.5888036091125,46.024642032592,61.2937694505955,-39.9643231091912,"Republian"
"10",723465,619285,206081.46,207259.44,1279.01,5252.49,419872.4,413340.9,49.8575050279321,50.1424949720679,98.4444083488222,58.0363113626782,67.7995430213876,-0.284989944135745,"Republian"
"11",715744,557926,124151.07,232941.83,1189.68,4055.14,362337.72,357092.9,34.7671628307368,65.2328371692632,98.552505104906,50.6239269906559,64.9436878725852,-30.4656743385265,"Republian"
"12",730219,566622,168053.18,191028.54,1196.03,4211.8,364489.55,359081.72,46.8008173738279,53.1991826261721,98.5163278343645,49.9151008122221,64.326755756042,-6.39836525234423,"Republian"
"13",716804,550178.619909778,190140.841998857,121481.340789216,1274.75648219271,3218.94700934192,316115.886279607,311622.182788072,61.0164656115535,38.9835343884465,98.5784632514293,44.1007425013821,57.4569557667373,22.0329312231071,"Democrat"
"14",723959,587481,182156.31,202602.59,1188.02,3761.42,389708.34,384758.9,47.3429750422927,52.6570249577073,98.7299630282483,53.8301671779755,66.3354797857292,-5.31404991541453,"Republian"
"15",719975,570894.043686224,260782.479375,125026.274263393,1139.15671237245,2728.02784438776,389675.938195153,385808.753638393,67.5937175908206,32.4062824091794,99.0075895949153,54.1235373721522,68.2571385189171,35.1874351816412,"Democrat"
"16",731677,567261.353419705,164202.469005725,201359.248900271,1255.99833684845,3474.68388972582,370292.40013257,365561.717905996,44.9178513402077,55.0821486597923,98.7224468487928,50.6087249062865,65.277212681647,-10.1642973195846,"Republian"
