"District","Population","VAP_MOD","Votes Democratic","Votes Republican","Votes Green","Votes Libertarian","Votes Cast","Votes Two Parties","% Votes Democratic (2P)","% Votes Republican (2P)","% Votes Two Parties","Turnout % (POP)","Turnout % (VAP)","% Margin (2P)","Winner"
"1",708224,550043.445196211,152699.717916103,202916.108592693,1195.10856562923,3611.63926928282,360422.574343708,355615.826508796,42.9395168981114,57.0604831018886,98.6663577208879,50.8910421482056,65.5262011558265,-14.1209662037773,"Republian"
"2",722592,543062,101090.26,227676.95,1214.57,3612.26,333594.04,328767.21,30.748279306808,69.251720693192,98.5530826629876,46.1663068508923,61.4283525637957,-38.503441386384,"Republian"
"3",711292,559481,132067.05,213842.92,1195.44,4413.36,351518.77,345909.97,38.179602050788,61.820397949212,98.4044095284016,49.4197558808478,62.8294383544749,-23.6407958984241,"Republian"
"4",732582,646446.489168414,267401.389196366,171435.705265549,1342.70120195667,5381.05256464011,445560.848228512,438837.094461915,60.9340897957233,39.0659102042767,98.4909460080863,60.8206109662142,68.9246296010795,21.8681795914466,"Democrat"
"5",712988,538907,100137.19,226106.27,942.75,3389.31,330575.52,326243.46,30.6940068622372,69.3059931377628,98.689539987716,46.3648083838718,61.3418493357852,-38.6119862755256,"Republian"
"6",721428,583877,199382.96,185709.45,1123.37,4899.51,391115.29,385092.41,51.7753543883142,48.2246456116858,98.4600755444769,54.2140435358761,66.9859045655163,3.55070877662848,"Democrat"
"7",721649,615873.510831586,208111.540803634,155477.404734451,1229.63879804333,4700.63743535989,369519.221771488,363588.945538085,57.2381375609877,42.7618624390123,98.3951372800112,51.2048408258708,59.9992068618998,14.4762751219754,"Democrat"
"8",732698,601795,162838.06,256149.38,1092.81,5499.43,425579.68,418987.44,38.8646638190395,61.1353361809605,98.4509974724357,58.0839145186694,70.7183808439751,-22.2706723619209,"Republian"
"9",712907,555154,166925.63,188647.65,1148.27,4063.24,360784.79,355573.28,46.9454932046637,53.0545067953363,98.5555072873222,50.6075532993784,64.9882356967616,-6.10901359067254,"Republian"
"10",721028,559303,111789.18,240691.02,1104.89,4800.42,358385.51,352480.2,31.715023992837,68.284976007163,98.3522464398742,49.7047978719273,64.0771656865778,-36.5699520143259,"Republian"
"11",711203,529488,94524.08,240292.45,1102.35,4596.23,340515.11,334816.53,28.2316049330061,71.7683950669939,98.3264824870767,47.8787505114573,64.3102601003233,-43.5367901339877,"Republian"
"12",741051,601137,199949.29,212408.43,1197.79,4245.31,417800.82,412357.72,48.4892801327935,51.5107198672065,98.6972021739929,56.3794961480384,69.5017641569226,-3.02143973441306,"Republian"
"13",716389,550250.781351256,162368.002973862,189154.073352972,1254.43503476607,3372.54261376792,356149.053975368,351522.076326834,46.1899874598195,53.8100125401805,98.7008311276171,49.7144783037383,64.724861108015,-7.62002508036107,"Republian"
"14",721211,569463.975258257,251543.767613517,118839.09544714,1151.69612099467,2652.79896617618,374187.358147828,370382.863060657,67.9145264807574,32.0854735192426,98.9832646655936,51.8832017464831,65.7086970212876,35.8290529615147,"Democrat"
"15",718653,570386.815209983,203245.1118761,135782.386560075,1215.96181002365,3491.89789422859,343735.358140426,339027.498436174,59.9494474087218,40.0505525912781,98.630382475134,47.8305048668031,60.263552553171,19.8988948174437,"Democrat"
"16",730609,565795.982984293,165063.959620419,189694.77604712,1293.65846858639,4839.0512565445,360891.44539267,354758.735667539,46.5285116404034,53.4714883595966,98.3006774465219,49.395975876655,63.7847309359015,-6.94297671919326,"Republian"
