"Congressional Session","District","District Perimeter","District Area","Compactness Polsby Popper","Compactness Schwartzberg","Compactness Reock"
"108","Congressional District 5",884242.803672427,15916578472.0146,0.255809406855456,0.505776044169211,0.271755810515554
"108","Congressional District 17",409672.625738851,2672272735.45941,0.200086023819661,0.447309762714454,0.308715362343759
"108","Congressional District 2",611283.949812939,6810284001.622,0.229028274671822,0.47856898632467,0.302415879898024
"108","Congressional District 13",430243.25082533,1388636006.5846,0.0942692720492424,0.30703301459166,0.201493456649771
"108","Congressional District 16",410836.945566067,4504138990.01121,0.335337918449778,0.579083688640751,0.337942214735613
"108","Congressional District 8",539306.682453036,5253520473.85378,0.226980574010354,0.476424783161365,0.41854585903008
"108","Congressional District 3",499706.776252735,4166616301.77093,0.209682842464493,0.457911391498937,0.284551677429271
"108","Congressional District 7",694948.947461149,7407982913.33615,0.192754281287901,0.439037904158515,0.225829294553587
"108","Congressional District 12",356833.148060023,2668144166.97363,0.263322987180175,0.513150063022675,0.402982390938897
"108","Congressional District 15",428439.523394916,3061326073.92614,0.209575446194372,0.457794108955513,0.430815921902912
"108","Congressional District 14",403000.693737506,4700509547.26104,0.36369992847282,0.603075392030565,0.370526788337276
"108","Congressional District 6",1238339.71813227,13547989779.3883,0.111020996005179,0.333198133255844,0.162901308039988
"108","Congressional District 4",723189.31495571,12007699233.5803,0.288513183955894,0.537134232716455,0.346462430233743
"108","Congressional District 18",1177179.39757559,17791820733.9818,0.161341077399335,0.401672848720616,0.28788363540514
"108","Congressional District 9",653024.194879263,2892969287.91694,0.0852501481445326,0.291976280105992,0.101838112816832
"108","Congressional District 11",124589.066039268,348548486.105801,0.282171537341355,0.531198209090877,0.480520074606087
"108","Congressional District 10",159783.40516964,505652110.862559,0.248884782865783,0.498883536374757,0.237399314412791
"108","Congressional District 1",206936.705906434,1087877841.69235,0.319238257694424,0.565011732351129,0.561495790006621
"111","Congressional District 5",883832.787159998,15917314827.7843,0.256058651235931,0.50602238214918,0.271768382875838
"111","Congressional District 2",610372.420693285,6810138337.88786,0.229707933039907,0.479278554746514,0.302409411588286
"111","Congressional District 13",416462.973137941,1391586770.84304,0.100824799029352,0.31752920972621,0.201471007616605
"111","Congressional District 16",410427.369923071,4504089917.32185,0.336003875625389,0.57965841288244,0.337938532848051
"111","Congressional District 1",206353.134694474,1087938222.33729,0.321064255611414,0.566625322070426,0.561526954790599
"111","Congressional District 8",539160.003924637,5253643042.37,0.22710938948765,0.476559953717945,0.418555624014372
"111","Congressional District 3",499240.995416003,4166619417.72247,0.210074441017773,0.458338784108189,0.28455189022766
"111","Congressional District 7",693892.134414974,7409934284.74763,0.193392795540162,0.439764477351414,0.225888781303816
"111","Congressional District 12",356138.416790321,2668163226.05611,0.264353223669819,0.514152918565886,0.402985269521966
"111","Congressional District 15",427426.317705642,3059286673.3746,0.210429934691083,0.458726426850561,0.430528920058769
"111","Congressional District 14",402588.383339879,4700066692.6448,0.364410939709488,0.603664592062089,0.370491879462609
"111","Congressional District 6",1237101.50024627,13551482983.9238,0.111272032504032,0.333574628087976,0.162943310403242
"111","Congressional District 4",723158.885945483,12007661968.0067,0.288536569058567,0.537156000672586,0.346461354996853
"111","Congressional District 17",409741.867098948,2671018435.85588,0.199924521597843,0.447129200117643,0.308471304810649
"111","Congressional District 18",1176275.64536689,17791769012.7064,0.1615886249817,0.401980876388045,0.28788279852009
"111","Congressional District 9",600191.754366603,2920422076.78312,0.101876833411206,0.319181505434143,0.102804504067983
"111","Congressional District 10",159726.036465201,505612941.876974,0.249044305523933,0.499043390422048,0.237380924911147
"111","Congressional District 11",124666.918124901,348488793.701503,0.281770961664144,0.530821026019264,0.480437780751114
"112","Congressional District 13",416462.960603913,1391586765.68474,0.10082480472454,0.317529218694186,0.201471006869798
"112","Congressional District 18",1176271.63357377,17791768788.2538,0.161589725173668,0.401982244848784,0.287882794888295
"112","Congressional District 5",883828.046412405,15917315012.8439,0.256061401156109,0.506025099334123,0.2717683860355
"112","Congressional District 4",723158.706435836,12007661957.3147,0.288536712048495,0.537156133771639,0.346461354688351
"112","Congressional District 15",427426.289087311,3059286669.74272,0.210429962619945,0.458726457292301,0.430528919547659
"112","Congressional District 3",499240.774037765,4166619387.64331,0.210074625807804,0.458338985694872,0.284551888173456
"112","Congressional District 7",693890.517133104,7409934319.10529,0.193393697936514,0.439765503349813,0.225888782351195
"112","Congressional District 17",409739.587860328,2671018416.55404,0.199926744380245,0.447131685726078,0.308471302581513
"112","Congressional District 14",402588.20500053,4700066694.77305,0.364411262729582,0.603664859611343,0.370491879630373
"112","Congressional District 9",600116.256405353,2920423646.89561,0.10190252315365,0.31922174605382,0.102804559338978
"112","Congressional District 1",206353.027512869,1087938213.87907,0.321064586642651,0.566625614178049,0.561526950424984
"112","Congressional District 2",610371.75102212,6810138374.80133,0.22970843833476,0.479279081887328,0.302409413227457
"112","Congressional District 6",1237099.15314491,13551482891.6566,0.111272453971241,0.333575259830883,0.162943309293819
