"Geography","fips_county","fips_tract","Population","White","Black","Asian","NHPI","AIAN","Two or More Races","Other","district"
"39011041202","011","041202",5271,5091,21,36,6,7,78,32,9
"39013010100","013","010100",4264,4063,112,7,0,5,74,3,3
"39013010200","013","010200",3905,3659,152,12,0,3,76,3,3
"39013010300","013","010300",3425,3353,28,10,0,1,29,4,3
"39013010600","013","010600",3712,3641,32,4,0,9,21,5,3
"39013010700","013","010700",2695,2611,10,25,0,4,36,9,3
"39013010802","013","010802",2323,2264,7,2,2,9,39,0,3
"39013010900","013","010900",6798,6597,57,37,0,7,96,4,3
"39013011000","013","011000",5009,4926,17,4,0,6,54,2,3
"39013011200","013","011200",3491,3432,4,2,0,6,44,3,3
"39013011300","013","011300",4019,3977,8,6,4,3,21,0,3
"39013011400","013","011400",4499,4413,48,8,0,0,24,6,3
"39013011500","013","011500",1640,1571,42,0,0,3,24,0,3
"39013011600","013","011600",1250,1140,75,4,0,4,27,0,3
"39013011700","013","011700",1406,1231,121,5,0,4,45,0,3
"39013011900","013","011900",3071,2852,156,2,0,7,50,4,3
"39013012000","013","012000",2643,2400,161,4,0,8,58,12,3
"39013012100","013","012100",1277,1163,68,4,0,3,38,1,3
"39013012200","013","012200",6288,4675,1543,14,1,1,26,28,3
"39013012300","013","012300",4104,3968,51,37,0,3,37,8,3
"39013012400","013","012400",4581,4270,142,72,0,2,78,17,3
"39015951201","015","951201",4427,4332,13,18,1,6,47,10,13
"39015951202","015","951202",5041,4940,25,5,0,10,56,5,13
"39015951300","015","951300",7777,7617,34,33,2,6,69,16,13
"39015951400","015","951400",4393,4339,13,7,0,11,20,3,13
"39015951500","015","951500",5423,5317,39,3,0,13,39,12,13
"39015951600","015","951600",3699,3586,38,4,0,3,47,21,13
"39015951700","015","951700",2673,2515,105,6,0,3,44,0,13
"39015951800","015","951800",5270,5054,95,22,0,11,79,9,13
"39015951900","015","951900",6143,6036,22,10,0,12,44,19,13
"39017000100","017","000100",4639,4230,175,14,6,10,79,125,11
"39017000200","017","000200",4226,3817,151,26,2,12,109,109,11
"39017000300","017","000300",3349,1181,1760,10,10,5,143,240,11
"39017000400","017","000400",4944,3002,864,10,20,32,183,833,11
"39017000500","017","000500",4575,3870,255,11,0,13,133,293,11
"39017000600","017","000600",5017,4414,208,18,0,14,210,153,11
"39017001001","017","001001",5464,5001,257,44,0,9,125,28,11
"39017001002","017","001002",5087,4742,162,37,0,10,112,24,11
"39017001100","017","001100",4550,4145,165,7,1,6,170,56,11
"39017001300","017","001300",4256,3935,151,22,2,5,102,39,11
"39017010101","017","010101",6819,6292,192,159,1,4,128,43,12
"39017010102","017","010102",2749,2435,112,100,0,5,66,31,12
"39017010103","017","010103",5308,4499,206,434,0,10,137,22,12
"39017010104","017","010104",5265,4576,270,280,0,12,103,24,12
"39017010201","017","010201",1950,1583,99,185,1,2,67,13,12
"39017010202","017","010202",4194,4032,71,14,1,6,62,8,12
"39017010203","017","010203",5515,5421,16,7,0,19,43,9,11
"39017010301","017","010301",4449,4359,17,7,1,12,48,5,12
"39017010302","017","010302",3550,3449,10,7,0,5,79,0,12
"39017010500","017","010500",2377,2197,116,2,2,6,52,2,11
"39017010600","017","010600",3427,3325,20,5,0,7,57,13,12
"39017010800","017","010800",6568,6417,16,16,2,11,73,33,11
"39017010901","017","010901",4349,3965,202,42,8,9,70,53,11
"39017010903","017","010903",5328,4494,507,107,0,12,150,58,11
"39017010904","017","010904",3604,3171,290,7,0,13,85,38,11
"39017010906","017","010906",7155,4900,1305,155,6,25,242,522,11
"39017010907","017","010907",2611,2278,199,55,0,6,46,27,11
"39017010908","017","010908",5300,3729,1135,136,1,9,142,148,11
"39017010909","017","010909",4716,2748,1129,310,3,31,159,336,11
