"District","Population","White %","Black %","Asian %","NHPI %","AIAN %","Two or More Races %","Other %","Non-White %","White % Minus Non-White %","Race Score","Population Target Ratio"
"1",724263,84.4597887783858,8.82648982482883,3.20311820429871,0.067931124467217,0.192057305150201,1.93051419166794,1.32010057120135,15.5402112216142,68.9195775567715,3,100.448177368118
"2",718008,86.8438791768337,7.64211540818487,1.57240587848603,0.0479103296899199,0.253896892513732,2.37462535236376,1.265166961928,13.1561208231663,73.6877583536674,4,99.5806701926337
"3",720141,72.8630920889104,22.223703413637,1.68425350035618,0.062626624508256,0.220234648492448,1.9954425591655,0.950647164930201,27.1369079110896,45.7261841778207,2,99.8764963805326
"4",719565,95.25866322014,2.0587438243939,0.508640637051552,0.0165377693467581,0.306157192192505,1.60291287097066,0.248344485904679,4.74133677986005,90.5173264402799,5,99.7966108276823
"5",721054,90.7414701256771,4.0504594662813,2.20399581723422,0.0407736452470966,0.20511639904917,1.91206206469973,0.846122481811348,9.25852987432286,81.4829402513543,4,100.003120529408
"6",717148,79.3607456201509,16.8814526429691,0.962144494581314,0.0354180726990802,0.188663985676597,1.90100230356914,0.670572880353846,20.6392543798491,58.7214912403019,2,99.4613966241419
"7",721409,80.9133237871998,13.1440001441623,1.25074680243801,0.0224560547484159,0.280284831489488,2.72161838845925,1.66756999150274,19.0866762128002,61.8266475743995,3,100.05235554896
"8",723744,93.4333134367953,2.54869124994473,0.825291815890702,0.0230744572666578,0.199379891232259,1.65389972144847,1.31634942742185,6.56668656320467,86.8666268735907,5,100.376197156435
"9",725546,90.8772152282557,4.79073690710169,0.9337795260397,0.0391429351136937,0.214597006943736,1.98760657491048,1.15692182163502,9.12278477174431,81.7544304565114,4,100.626116889484
"10",719871,55.6291335530949,37.0938682069426,2.28165879720117,0.0240320835260762,0.247266524141131,2.32402749937141,2.40001333572265,44.3708664469051,11.2582671061899,1,99.839050027634
"11",721404,72.5295396199633,17.4745357663667,4.56872986565087,0.0600218462886261,0.23579020909227,2.83918580989293,2.29219688274531,27.4704603800367,45.0590792399266,2,100.05166209798
"12",718145,78.3057739035989,16.8177735694045,1.16202159730974,0.0346726635985769,0.240898425805374,2.46440482075347,0.974455019529482,21.6942260964011,56.6115478071977,2,99.5996707494749
"13",722362,85.9935877025646,9.63132058441612,1.38448589488373,0.036962077185677,0.232155069065095,2.19765159296862,0.523837078916111,14.0064122974354,71.9871754051293,4,100.184527305673
"14",724436,81.3893842934365,13.7110800678045,2.10812273271897,0.0173928407754446,0.158330066424087,1.73514292497888,0.880547073861597,18.6106157065635,62.7787685868731,3,100.472170772012
"15",719117,86.698548358612,9.32254417570437,1.49155144434077,0.0159918344302805,0.142674975004067,1.50949011078865,0.819199101119846,13.301451641388,73.397096717224,4,99.7344776199098
"16",720291,87.6027883174995,9.15213434570195,0.508683296056733,0.0188812577138962,0.190756236021275,1.82898300825639,0.697773538750311,12.3972116825005,75.2055766349989,4,99.8972999099207
"Ohio Total",11536504,82.6891491564515,12.2019721052409,1.66630202702656,0.0352446460383492,0.219234527201655,2.06097965206791,1.12711788597308,17.3108508435485,65.3782983129031,3,NA
