"District","Population","White %","Black %","Hispanic %","Asian %","NHPI %","AIAN %","Other %","Two or More Races %","Non-White %","White Minus Nonwhite","Diversity Index","Population Target Ratio"
"1",718370,90.5742166293136,4.26131380764787,2.23812241602517,1.16820023107869,0.0244999095173796,0.1556301070479,0.0929882929409636,1.48502860642844,9.42578337068642,81.1484332586272,0.177395044505342,99.630876043557
"2",721834,91.8475716023352,3.96420783725898,1.4824738097679,0.970998872316904,0.0263218413097748,0.169152464417027,0.102655181108122,1.43661839148613,8.15242839766483,83.6951432046703,0.154719210849124,100.111298882226
"3",721787,86.5893954864801,4.30473255960553,6.09667394951696,1.12456999086988,0.0170410384226926,0.164314403002548,0.0865906423917305,1.61668192971057,13.4106045135199,73.1787909729602,0.244789064886761,100.104780443018
"4",717961,78.3815555441034,12.0893753281863,6.031246822599,1.31734174976078,0.0189425330902375,0.206975030677154,0.12089793178181,1.8336650598013,21.6184444558966,56.7631110882067,0.367537194089885,99.5741517534255
"5",719445,82.4521679906039,11.9772880484262,1.59303351889304,1.68546587994913,0.0205714126861678,0.170826122914191,0.130656269763498,1.96999075676389,17.5478320093961,64.9043359812077,0.305664020140309,99.7799680041718
"6",721019,86.6376614208502,8.79408170935856,2.32948091520473,0.510666154428663,0.013591874832702,0.145904615551047,0.0929240422235752,1.47568926755051,13.3623385791498,73.2753228417004,0.24130400402005,99.998266372551
"7",724519,70.2855273636716,23.6997235407215,2.41608570651701,1.79277562079117,0.0155965544036802,0.131535542891215,0.112902491170004,1.54585317983379,29.7144726363284,40.5710547273432,0.449157560296574,100.483682058273
"8",720541,59.7807758337138,29.1150677060709,6.84249751228591,2.20237293922206,0.0147111684137336,0.189718558694092,0.143364499730064,1.71149178186946,40.2192241662862,19.5615516674277,0.552977389561074,99.9319724589009
"9",726078,87.6168951545151,8.03742848564479,1.65505634380879,0.737524067662152,0.033880657450026,0.172570990995458,0.122851814818794,1.62379248510491,12.3831048454849,75.2337903090302,0.225798695438969,100.699900073714
"10",719830,80.9079921648167,12.2872067015823,2.49156050734201,1.89114096383868,0.0313963019046164,0.208104691385466,0.146562382784824,2.03603628634539,19.0920078351833,61.8159843296334,0.329721673736061,99.8333637296013
"11",720045,81.4308827920477,10.7889090265192,3.25618537730281,2.47123443673659,0.0668013804692762,0.148601823497143,0.155129193314307,1.68225597011298,18.5691172079523,62.8617655840955,0.323868040202859,99.8631821217242
"12",721941,71.6942243202699,21.6891685054596,2.2339775688041,2.19242292652724,0.0482033850411599,0.16247865130253,0.192536509216127,1.78698813337932,28.3057756797301,43.3884486405399,0.438284832799291,100.12613873319
"13",717509,79.40123399149,14.6518022770446,2.36777517773296,1.04625865320156,0.0289891834109398,0.213237743359317,0.160276735204715,2.13042623855589,20.59876600851,58.80246798298,0.347853443081949,99.5114637848693
"14",720367,94.7224123259394,1.9130526523286,0.929665017970007,0.562491063582868,0.0142982674109169,0.279579714228997,0.0741288815284431,1.50437207701075,5.27758767406058,89.4448246518788,0.102500343045985,99.9078403648107
"15",724923,86.281853383049,6.76996039579376,3.00362935097935,1.6723155424783,0.050901957863111,0.204573451249305,0.13670417409849,1.88006174448873,13.718146616951,72.5637067660979,0.250126248729935,100.539712897425
"16",720335,69.4115932170449,18.3093977107873,4.23927755835826,5.115814169796,0.0456731937223653,0.176723330117237,0.231281278849424,2.47023954132452,30.5884067829551,38.8231864340897,0.480866892888857,99.9034022785412
"Ohio Total",11536504,81.127376196463,12.0410394691494,3.07436290924876,1.65357720155083,0.0294716666331499,0.181216077244892,0.131391624360378,1.76156485534959,18.872623803537,62.254752392926,0.326422831425557,NA
