"District","Population","White %","Black %","Hispanic %","Asian %","NHPI %","AIAN %","Other %","Two or More Races %","Non-White %","White Minus Nonwhite","Diversity Index","Population Target Ratio"
"1",715431,78.4587192894912,12.0860013055068,6.01162096694161,1.28230395384041,0.020127727202204,0.204212565572361,0.118390173196297,1.81862401824914,21.5412807105088,56.9174385789825,0.36636253190052,99.2232655577461
"2",722013,90.5419985512726,3.81156571973081,3.31088221403216,0.613008353035195,0.0206367475377867,0.169664535126099,0.080330963569908,1.45191291569542,9.45800144872737,81.0839971025453,0.177835313095066,100.136124427296
"3",721630,87.0498732037194,4.65224561063149,4.94380776852404,1.42164267006638,0.0189847983038399,0.155065615343043,0.0988040962820282,1.65957623712983,12.9501267962806,74.0997464074387,0.237693390813105,100.083006082259
"4",721007,83.7249846395389,7.17427153966605,5.50563309371476,1.82522499781556,0.0187238126675608,0.167682144556155,0.112897655639959,1.47058211640109,16.2750153604611,67.4499692790777,0.290713473092653,99.9966020901999
"5",718993,84.7994347650116,10.2195709833058,1.56774822564337,1.04994068092457,0.0182199270368418,0.205426200255079,0.141865080744875,1.99779413707783,15.2005652349884,69.5988695300233,0.270498454634276,99.7172800356156
"6",723181,80.820154290558,13.2058226087245,2.43286258903373,1.74893975367163,0.017976135988086,0.141043528521905,0.108133371866794,1.52506772163539,19.179845709442,61.6403085811159,0.328702522134927,100.298114576132
"7",723381,86.8941816276623,8.05785609519741,2.72857595098572,0.465038479031105,0.0225330773133383,0.163399370456233,0.0812849660137604,1.58713043334011,13.1058183723377,73.7883632553246,0.237929593557354,100.325852615316
"8",720154,55.1200159965785,38.7539331865129,2.21563721092988,2.13940351647009,0.0126361861490737,0.130527637144277,0.131499651463437,1.49634661475184,44.8799840034215,10.240031993157,0.545263496735137,99.8782993530796
"9",723920,90.204442479832,3.99643607028401,2.3099237484805,1.53387114598298,0.039507127859432,0.17336169742513,0.116725605039231,1.6257321250967,9.79555752016797,80.408884959664,0.184209631220695,100.400606630917
"10",717576,63.0447506605572,24.9577745075086,5.37141710425098,3.433364549539,0.0713513272461732,0.219070871935516,0.244015964859471,2.65825501410304,36.9552493394428,26.0895013211144,0.536878248481272,99.520756027996
"11",723757,89.4478395373033,6.18798850995569,1.37117844801501,0.814914398064544,0.0205870202291653,0.220101498154767,0.111777848089898,1.82561274018766,10.5521604626967,78.8956790746065,0.196152008359195,100.378000128982
"12",721881,85.501765526451,6.75928581026513,2.41577212864724,3.08153282881805,0.0281209783884047,0.174682530777233,0.151271469951419,1.88756872670149,14.498234473549,71.0035310529021,0.263193707550672,100.117817321435
"13",719083,86.4692949214486,6.69797505990268,2.58481983303735,1.85986874950458,0.0358790292636594,0.198725320999106,0.142125457005659,2.0113116288384,13.5307050785514,72.9385898428971,0.247204215631465,99.7297621532485
"14",723906,78.1448143819778,17.0245860650416,1.74152445206974,1.018087983799,0.0223785961160703,0.175713421355811,0.141454829770716,1.73144026986929,21.8551856180222,56.2896287639555,0.360242854389157,100.398664968174
"15",720194,63.9248591351775,27.1099176055341,3.4247716587475,3.02307433830329,0.0817835194405952,0.167732583165092,0.225217094282929,2.04264406534906,36.0751408648225,27.8497182703549,0.516188356187405,99.8838469609164
"16",720397,93.671128558281,2.11272395637405,1.29650734247922,1.16296986245084,0.0223487882375968,0.233621183875002,0.097446269209894,1.40325403909233,6.32887144171895,87.3422571165621,0.122012718970903,99.9120010706883
"Ohio Total",11536504,81.127376196463,12.0410394691494,3.07436290924876,1.65357720155083,0.0294716666331499,0.181216077244892,0.131391624360378,1.76156485534959,18.872623803537,62.254752392926,0.326422831425557,NA
