"District","Population","White %","Black %","Asian %","NHPI %","AIAN %","Two or More Races %","Other %","Non-White %","White % Minus Non-White %","Race Score","Diversity Index","Population Target Ratio"
"1",724379,92.0283442783405,3.64229222547865,1.43612666849812,0.028990348974777,0.233579383168203,1.79132746807956,0.839339627460211,7.97165572165952,84.056688556681,4,0.151148635204679,100.464265430845
"2",720024,61.5685032721132,30.0674699732231,2.2477028543493,0.0819417130540093,0.278740708643045,3.30933413330667,2.44630734531071,38.4314967278868,23.1370065442263,1,0.528319396325909,99.8602696276099
"3",722238,82.3142786726813,13.102329149117,1.29126409853815,0.0443067243761752,0.187611286030367,1.96444939202867,1.09576067722828,17.6857213273187,64.6285573453626,3,0.304592422053611,100.167329721378
"4",715842,72.6308319433618,20.4246188404704,3.33956375848302,0.0937357685075757,0.209264055475929,2.0461219095834,1.25586372411789,27.3691680566382,45.2616638867236,2,0.429062812393802,99.2802672282695
"5",720723,84.2008649647645,6.79068102447126,5.12707378562915,0.0349648894235372,0.191890643145841,2.31739517123777,1.33712952132789,15.7991350352355,68.4017299295291,3,0.283061782450718,99.9572140745585
"6",722254,79.4575038698297,15.9582362991413,1.36807826609475,0.0368291487482243,0.222359446953565,2.22193300417859,0.735059965053845,20.5424961301703,58.9150077396594,2,0.342444003531747,100.169548764513
"7",719516,81.5242468548302,12.3813785933878,1.2964270426231,0.0239049583331017,0.277269720200802,2.59424390840509,1.90252892221994,18.4757531451698,63.0484937096604,3,0.318839074810211,99.7898150080822
"8",721246,93.201626074876,3.18005229838363,0.671060914029333,0.0321665562096705,0.200763678412081,1.6826436472438,1.03168683084551,6.79837392512403,86.403252149752,5,0.129895683352575,100.029749047025
"9",723779,86.962594935747,8.75557317910578,1.641799499571,0.021277213071946,0.17436261621296,1.91937041555502,0.52502214073633,13.037405064253,73.9251898714939,4,0.235416102866763,100.381051313292
"10",723294,89.062677140969,7.44455228440994,0.874195002308881,0.0223975312943284,0.225910902067486,1.9401515842797,0.430115554670715,10.937322859031,78.1253542819379,4,0.200765323992072,100.313786568271
"11",722981,78.1230765400474,16.7289320189604,2.1650638121887,0.0178427925491818,0.166671046680342,1.71276976850014,1.08564402107386,21.8769234599526,56.2461530800948,2,0.360809994328862,100.270376536947
"12",718621,59.3657853026839,34.7490540910995,2.29689919999555,0.0200383790621204,0.167960580055412,1.86078614457412,1.53947630252943,40.6342146973161,18.7315706053678,1,0.525706990457957,99.6656872827331
"13",721012,84.1560195946808,8.92967107343567,1.31745380104631,0.0202493162388421,0.27960699683223,2.76722162737929,2.52977759038685,15.8439804053192,68.3120391893616,3,0.282215377568271,99.9972955411795
"14",719660,95.4311758330323,1.9363310452158,0.491065225245255,0.0494678042408915,0.211627713086735,1.5189117083067,0.361420670872356,4.56882416696773,90.8623516660645,5,0.0886415205121199,99.8097863962948
"15",719775,87.9378972595603,8.95196415546525,0.497099788128235,0.0188947935118613,0.183529575214477,1.74262790455351,0.667986523566392,12.0621027404397,75.8757945191205,4,0.218302445699933,99.8257357688256
"16",721160,94.8462199789228,2.37284375173332,0.615258749792002,0.0174718509068723,0.296744134450053,1.59021576349215,0.261245770702757,5.15378002107715,89.6924399578457,5,0.0995500227036368,100.017821690176
"Ohio Total",11536504,82.6891491564515,12.2019721052409,1.66630202702656,0.0352446460383492,0.219234527201655,2.06097965206791,1.12711788597308,17.3108508435485,65.3782983129031,3,0.300527258826165,NA
