"District","District Perimeter","District Area","Compactness Polsby Popper","Compactness Schwartzberg"
"1",6.23810367286931,0.564445771185048,0.182274917940305,0.426936667364499
"10",4.69865819261805,0.506613740294949,0.288362725925482,0.536994158185619
"11",5.3423792598806,0.513370532475392,0.226032750138419,0.475429016929362
"12",3.62882878536515,0.169202979469536,0.161467423143659,0.401830092381916
"13",5.41307014718949,0.63823935917361,0.273719751320622,0.523182330856674
"14",2.44206969793315,0.146151717209434,0.307962386840239,0.554943588881103
"15",6.47901728977016,0.795344112022473,0.238093016079562,0.487947759580431
"16",9.27901611960787,1.97337939925013,0.288015987559471,0.536671209922306
"2",4.94053223466719,0.585367145955119,0.301363557113868,0.548965897951656
"3",10.3605120170086,2.16257000874144,0.253173124946032,0.5031631196203
"4",4.98230151866231,0.401423404550734,0.203213492926112,0.450792072829715
"5",4.38593254683683,0.282236614390462,0.184373848722675,0.429387760331702
"6",8.01021000335973,1.2168617473414,0.238321541251683,0.488181873128943
"7",6.46366533538458,0.501657227914417,0.150889567467824,0.388445063641983
"8",6.87527873416372,1.14168736501995,0.30351240020542,0.550919595045792
"9",4.85718744490726,0.721349631690612,0.384225293386242,0.6198590915573
