"District","District Perimeter","District Area","Compactness Polsby Popper","Compactness Schwartzberg"
"1",428034.966409687,2685766440.89475,0.184212718023175,0.429200090893717
"10",165591.786317381,525305501.207728,0.240737768599676,0.490650352694947
"11",490549.530525735,7031303461.09042,0.367180811280528,0.605954463042008
"12",483524.222133388,6222240293.26583,0.334441508019039,0.578309180299811
"13",1062292.78832188,21168587342.2605,0.235729141542733,0.48551945536995
"14",537456.79490333,7327924106.30661,0.318789281573261,0.564614276806088
"15",433850.256097231,3038195987.08265,0.202836418469184,0.450373643177733
"16",735298.316953274,9250601641.88599,0.215007049542553,0.463688526429707
"2",278268.530163889,1671902846.18216,0.271326812617976,0.520890403653183
"3",967569.016149204,13599771058.3125,0.182548200380374,0.427256597819594
"4",909639.708122848,15034915863.5871,0.228334768135024,0.477843874225697
"5",749814.897582651,14503428202.0192,0.324169688440478,0.569359015420392
"6",393308.159937632,3157606017.79904,0.256508577075503,0.506466758114985
"7",386113.880998732,2266148776.35451,0.191014991105207,0.437052618234014
"8",407613.518453507,2513838287.33111,0.190129734940963,0.436038685142687
"9",567965.446589209,5966475348.23409,0.232425558962426,0.482105340109842
