"District","District Perimeter","District Area","Compactness Polsby Popper","Compactness Schwartzberg"
"1",461351.373165838,5302341497.38652,0.313050155536553,0.559508852062729
"10",444235.530677146,8602996945.17678,0.54781390339451,0.740144515209368
"11",617075.025498611,6810310829.097,0.224750599235947,0.47407868464628
"12",264522.35923106,1233471617.16672,0.221520666650813,0.470659820518826
"13",461038.817228316,5123666710.7649,0.302911492461167,0.550373956924896
"14",397300.115567011,4060887922.71369,0.323290903331529,0.568586759722322
"15",576578.794687858,9069248137.92477,0.342818157669744,0.58550675288142
"16",874971.823310821,17685420427.9061,0.290293370087131,0.538788799147802
"2",454701.011717913,5053564503.61687,0.307153760220572,0.554214543494279
"3",908772.55139654,13859014998.9798,0.210878268302125,0.459214838939384
"4",702880.265284701,8886160176.01453,0.226027510477222,0.475423506441596
"5",864189.531997684,13549340138.6616,0.227986959433082,0.477479800026224
"6",329831.210372946,3245328796.69127,0.374873784358784,0.612269372383418
"7",221101.18626335,1209501926.28922,0.310909708100671,0.557592779813971
"8",682442.442671778,10004314419.936,0.269938691861313,0.519556245137438
"9",388684.234552682,2268442125.09933,0.188687754657775,0.434382037678557
