"District","District Perimeter","District Area","Compactness Polsby Popper","Compactness Schwartzberg"
"1",899315.886057448,15098741689.938,0.234598963519094,0.484354171571892
"10",442330.527755518,4356347763.51218,0.279794117034861,0.528955685322373
"11",265884.914236056,1884016775.97334,0.334893898803051,0.578700180406963
"12",747164.383801622,10137797606.1515,0.228202899151737,0.477705870962182
"13",564773.133457984,6702565923.58486,0.264060171115711,0.513867853748131
"14",655833.362889976,11202783675.5844,0.327302107794993,0.572103231764157
"15",302857.23524969,1560065827.63819,0.213735608126522,0.462315485492885
"16",634020.172561085,8998936033.89326,0.281316287074198,0.530392578260856
"2",326324.965165754,2661397864.46987,0.314064657902333,0.560414719562516
"3",578947.86196657,7190882489.51421,0.269595815396163,0.519226169791319
"4",553431.440758359,3016134558.29322,0.123746498960413,0.351776205790575
"5",1289196.60993637,17917621484.4062,0.135472739192074,0.368066215771122
"6",433626.19552365,3028243726.57617,0.20238096844099,0.449867723270952
"7",500793.812370151,7533113770.14536,0.377456129286728,0.614374583854775
"8",346405.542769065,2343344258.91887,0.245400980856189,0.495379633065581
"9",827254.375465957,12332017724.4334,0.22644662825484,0.475864085905671
