"District","District Perimeter","District Area","Compactness Polsby Popper","Compactness Schwartzberg"
"1",414141.249267037,3499284634.54197,0.256384729906625,0.506344477511728
"10",558867.865793592,8979840628.49682,0.361293555623649,0.601076996418636
"11",976448.039195077,15823711150.3934,0.208554677797412,0.456677870930278
"12",380768.10007755,2927552438.94467,0.253742627714069,0.503728724328948
"13",585026.593297272,11117979608.5525,0.408210828604369,0.638913788084409
"14",195623.961864172,1110289990.69846,0.36458784726153,0.603811102300653
"15",586176.168911226,3878325771.97536,0.14183970975794,0.376616130506833
"16",562443.76537655,9112894023.41544,0.361999499193113,0.601663942074904
"2",806597.703429529,16742804007.2747,0.323388144962769,0.568672264984647
"3",871547.936382017,7550117148.72741,0.124905337281724,0.353419491938014
"4",286582.521401517,2109643339.36057,0.322789578010779,0.568145736594739
"5",935582.502540535,18741767426.2958,0.269064391612555,0.518714171401317
"6",373897.914671417,3079643094.86857,0.276824271914734,0.526140924006804
"7",438288.669854832,4724322522.69045,0.309050118762645,0.555922763306779
"8",388530.536713264,3177561298.76726,0.264516937123743,0.514312100891806
"9",392693.113547963,3388274087.96757,0.276109804104351,0.525461515340896
