"District","District Perimeter","District Area","Compactness Polsby Popper","Compactness Schwartzberg"
"1",354638.542274506,1267116768.17159,0.126606101441536,0.355817511431824
"10",728102.345710467,13585948112.2927,0.322043809399577,0.567489039012717
"11",350640.225219886,1917096836.47134,0.195943310542722,0.442654843577614
"12",452082.76306215,4239379299.3502,0.260661110756689,0.510549812218836
"13",291985.796287242,2010980426.36429,0.29641095885261,0.544436368047368
"14",1068335.3973411,19171091724.4491,0.211077272044529,0.459431466101887
"15",839105.965840158,10945738645.6238,0.195353555763638,0.441988185095075
"16",809110.903043623,7931503657.22535,0.152247190073166,0.390188659590673
"2",503838.097719397,6339745408.94272,0.313833770587482,0.560208684855458
"3",456578.257601988,6291043574.74555,0.379229492212703,0.615816118831509
"4",603035.512738282,8821650937.24343,0.304841406195249,0.552124448104998
"5",1000493.20282094,16153340368.6505,0.202788780407076,0.450320752805238
"6",566574.426582909,8273880062.51402,0.323895675305117,0.569118331549
"7",484009.625616217,5254429993.87472,0.28185612501911,0.530901238479541
"8",358308.270820332,2998836484.8222,0.293527627166858,0.541781899999306
"9",174473.45541747,762228872.470198,0.314656374841938,0.560942398862787
