Geography,dist1,dist2,distfrom
39025041305,14,24,10
39025041306,13,23,10
39025041307,12,22,10
39025041403,14,24,10
39025041404,14,24,10
39025041405,13,23,10
39025041406,13,23,10
39025041501,13,23,10
39025041502,12,22,10
39025041600,13,23,10
39025041701,12,22,10
39025041702,12,22,10
39025041900,11,21,10
39025042000,12,22,10
39027964300,6,17,11
39027964400,7,18,11
39027964500,8,19,11
39027964600,9,20,11
39027964700,8,19,11
39027964800,8,19,11
39027964900,9,20,11
39027965000,8,19,11
39027965100,7,18,11
39029950100,23,16,-7
39029950200,24,17,-7
39029950300,23,16,-7
39029950400,22,15,-7
39029950500,23,16,-7
39029950600,24,17,-7
39029950700,23,16,-7
39029950800,22,15,-7
39029950900,22,14,-8
39029951000,21,14,-7
39029951100,21,15,-6
39029951200,20,14,-6
39029951300,21,15,-6
39029951400,22,16,-6
39029951500,23,17,-6
39029951600,23,17,-6
39029951700,22,16,-6
39029951800,21,15,-6
39029951900,22,16,-6
39029952000,23,17,-6
39029952100,23,17,-6
39029952200,24,18,-6
39029952300,24,18,-6
39029952400,24,18,-6
39031960900,15,8,-7
39031961000,14,7,-7
39031961100,13,7,-6
39031961200,14,8,-6
39031961300,15,8,-7
39031961400,15,9,-6
39031961500,16,9,-7
39031961600,15,9,-6
39031961700,15,9,-6
39031961800,15,9,-6
39033974100,12,6,-6
39033974200,11,6,-5
39033974300,12,7,-5
39033974400,12,7,-5
39033974500,13,8,-5
39033974600,12,7,-5
39033974700,11,7,-4
39033974800,12,7,-5
39033974900,12,7,-5
39033975000,12,8,-4
39033975100,13,8,-5
39033975200,12,8,-4
39033975300,12,7,-5
39035101101,21,7,-14
39035101102,20,6,-14
39035101200,20,6,-14
39035101300,21,7,-14
39035101400,22,8,-14
39035101501,22,8,-14
39035101603,23,9,-14
39035101700,22,8,-14
39035101800,21,7,-14
39035101901,21,7,-14
39035102101,23,9,-14
39035102102,24,10,-14
39035102200,24,10,-14
39035102300,23,9,-14
39035102401,23,9,-14
39035102402,22,8,-14
39035102700,22,8,-14
39035102800,22,8,-14
39035102900,22,8,-14
39035103100,21,7,-14
39035103300,21,7,-14
39035103400,22,8,-14
39035103500,21,7,-14
39035103602,20,6,-14
39035103800,21,7,-14
39035103900,21,7,-14
39035104100,21,7,-14
39035104200,21,7,-14
39035104300,22,8,-14
39035104400,22,8,-14
39035104600,22,8,-14
39035104800,22,8,-14
39035104900,23,9,-14
39035105100,23,9,-14
39035105300,23,9,-14
39035105400,24,10,-14
39035105500,24,10,-14
39035105602,23,9,-14
39035105700,24,10,-14
39035105900,25,11,-14
39035106100,24,10,-14
39035106200,25,11,-14
39035106300,25,11,-14
39035106400,26,12,-14
39035106500,25,11,-14
39035106600,26,12,-14
39035106800,25,11,-14
39035106900,25,11,-14
39035107000,24,10,-14
39035107101,20,6,-14
39035107701,21,7,-14
39035107802,21,7,-14
39035108201,20,6,-14
39035108301,21,7,-14
39035108400,21,7,-14
39035108701,22,8,-14
39035109301,22,8,-14
39035109701,23,9,-14
39035109801,23,9,-14
39035110501,23,9,-14
39035110801,23,9,-14
39035110901,23,9,-14
39035111202,20,6,-14
39035111401,21,7,-14
39035111500,21,7,-14
39035111600,21,7,-14
39035111700,21,7,-14
39035111800,22,8,-14
39035111902,21,7,-14
39035112100,21,7,-14
39035112200,22,8,-14
39035112301,22,8,-14
39035112400,22,8,-14
39035112500,22,8,-14
39035112600,23,9,-14
39035112800,23,9,-14
39035113101,23,9,-14
39035113500,24,10,-14
39035113600,24,10,-14
39035113801,23,9,-14
39035114100,24,10,-14
39035114300,25,11,-14
39035114501,25,11,-14
39035114600,24,10,-14
39035114700,24,10,-14
39035114900,24,10,-14
39035115100,24,10,-14
39035115200,24,10,-14
39035115300,25,11,-14
39035115400,24,10,-14
39035115700,24,10,-14
39035115800,24,10,-14
39035115900,24,10,-14
39035116100,21,7,-14
39035116200,21,7,-14
39035116300,22,8,-14
39035116400,22,8,-14
39035116500,22,8,-14
39035116600,23,9,-14
39035116700,21,7,-14
39035116800,22,8,-14
39035116900,23,9,-14
39035117101,20,6,-14
39035117102,21,7,-14
39035117201,20,6,-14
39035117202,21,7,-14
39035117300,22,8,-14
39035117400,22,8,-14
39035117500,22,8,-14
39035117600,20,6,-14
39035117700,20,6,-14
39035117800,21,7,-14
39035117900,22,8,-14
39035118101,22,8,-14
39035118200,23,9,-14
39035118301,23,9,-14
39035118400,23,9,-14
39035118500,24,10,-14
39035118602,22,8,-14
39035118700,23,9,-14
39035118800,24,10,-14
39035118900,23,9,-14
39035119100,24,10,-14
39035119202,24,10,-14
39035119300,25,11,-14
39035119401,25,11,-14
39035119402,26,12,-14
39035119501,27,13,-14
39035119502,26,12,-14
39035119600,26,12,-14
39035119701,28,14,-14
39035119702,27,13,-14
39035119800,27,13,-14
39035119900,28,14,-14
39035120200,26,12,-14
39035120400,26,12,-14
39035120500,26,12,-14
39035120600,26,12,-14
39035120701,27,13,-14
39035120702,27,13,-14
39035120801,28,14,-14
39035120802,28,14,-14
39035121100,26,12,-14
39035121200,27,13,-14
39035121300,25,11,-14
39035121401,26,12,-14
39035121403,26,12,-14
39035121500,27,13,-14
39035121700,28,14,-14
39035121800,29,15,-14
39035121900,28,14,-14
39035122100,29,15,-14
39035122200,27,13,-14
39035122300,28,14,-14
39035123100,22,8,-14
39035123200,22,8,-14
39035123400,23,9,-14
39035123501,23,9,-14
39035123502,23,9,-14
39035123601,25,9,-16
39035123602,24,9,-15
39035123603,24,9,-15
39035123700,24,8,-16
39035123800,24,8,-16
39035123900,24,10,-14
39035124100,24,10,-14
39035124201,24,10,-14
39035124202,25,9,-16
39035124300,25,9,-16
39035124500,24,8,-16
39035124600,24,9,-15
39035126100,23,9,-14
39035127501,25,11,-14
39035130103,20,6,-14
39035130104,20,6,-14
39035130105,20,6,-14
39035130106,20,6,-14
39035131102,27,13,-14
39035131103,26,12,-14
39035131104,26,12,-14
39035132100,27,13,-14
39035132200,27,12,-15
39035132301,26,12,-14
39035132302,26,12,-14
39035133103,28,13,-15
39035133104,27,12,-15
39035134100,22,6,-16
39035134203,21,5,-16
39035134204,21,5,-16
39035134205,21,5,-16
39035134206,22,6,-16
39035134300,22,6,-16
39035135103,25,9,-16
39035135104,25,9,-16
39035135105,24,8,-16
39035135106,24,8,-16
39035136101,24,8,-16
39035136102,23,7,-16
39035136103,24,8,-16
39035137101,23,9,-14
39035137102,24,10,-14
39035137103,24,10,-14
39035138105,22,6,-16
39035138106,23,7,-16
39035138107,24,8,-16
39035138108,24,8,-16
39035138109,24,8,-16
39035138110,24,8,-16
39035140100,24,10,-14
39035140301,24,10,-14
39035140302,25,11,-14
39035140400,25,11,-14
39035140500,25,11,-14
39035140600,26,12,-14
39035140701,26,12,-14
39035140702,27,13,-14
39035140800,26,12,-14
39035140900,27,13,-14
39035141000,25,11,-14
39035141100,25,11,-14
39035141200,26,12,-14
39035141300,25,11,-14
39035141400,26,12,-14
39035141500,26,12,-14
39035141601,27,13,-14
39035141602,27,13,-14
39035141700,28,14,-14
39035150100,22,8,-14
39035150300,23,9,-14
39035150400,23,9,-14
39035151100,23,9,-14
39035151200,23,9,-14
39035151300,24,10,-14
39035151400,23,9,-14
39035151500,24,10,-14
39035151600,25,11,-14
39035151700,24,10,-14
39035151800,23,9,-14
39035152101,20,6,-14
39035152102,21,7,-14
39035152201,20,6,-14
39035152202,21,7,-14
39035152301,20,6,-14
39035152302,21,7,-14
39035152303,22,8,-14
39035152400,21,7,-14
39035152501,21,7,-14
39035152502,21,7,-14
39035152603,22,8,-14
39035152604,23,9,-14
39035152701,22,8,-14
39035152702,23,9,-14
39035152703,23,9,-14
39035153103,23,7,-16
39035153104,22,7,-15
39035153105,22,8,-14
39035153106,23,7,-16
39035153107,23,8,-15
39035154100,25,11,-14
39035154200,25,11,-14
39035154300,26,12,-14
39035154400,24,10,-14
39035154501,25,11,-14
39035154502,25,11,-14
39035154601,26,12,-14
39035154603,26,12,-14
39035154604,26,12,-14
39035154700,27,13,-14
39035155101,24,10,-14
39035155102,25,11,-14
39035156101,24,10,-14
39035156102,25,9,-16
39035160100,20,6,-14
39035160200,21,7,-14
39035160300,20,6,-14
39035160400,20,6,-14
39035160500,20,6,-14
39035160601,20,6,-14
39035160602,21,7,-14
39035160700,21,7,-14
39035160800,22,8,-14
39035160900,22,8,-14
39035161000,21,7,-14
39035161100,21,7,-14
39035161200,21,7,-14
39035161300,21,7,-14
39035161400,21,7,-14
39035161500,21,7,-14
39035161600,22,8,-14
39035161700,22,8,-14
39035161800,22,8,-14
39035170101,25,11,-14
39035170102,25,11,-14
39035170201,25,11,-14
39035170202,26,12,-14
39035171102,28,14,-14
39035171103,28,14,-14
39035171104,29,14,-15
39035171203,27,13,-14
39035171204,27,13,-14
39035171205,27,13,-14
39035171206,26,12,-14
39035172101,25,11,-14
39035172102,25,11,-14
39035172103,25,11,-14
39035172201,26,12,-14
39035172202,26,12,-14
39035173103,24,8,-16
39035173104,23,7,-16
39035173105,24,8,-16
39035173106,24,8,-16
39035173107,23,7,-16
39035174103,21,5,-16
39035174104,22,6,-16
39035174105,22,6,-16
39035174106,23,7,-16
39035174107,23,7,-16
39035174203,21,5,-16
39035174204,21,5,-16
39035174205,22,6,-16
39035174206,23,7,-16
39035174207,22,6,-16
39035175103,24,8,-16
