"District","Missing Race Data Flag","Population","White %","Black %","Asian %","NHPI %","AIAN %","Two or More Races %","Other %","Non-White %","White % Minus Non-White %","Race Score","Population Target Ratio"
"1",FALSE,718770,92.7857311796541,3.53200606591817,1.09325653547032,0.0310252236459507,0.278948759686687,1.85594835621965,0.423083879405095,7.21426882034586,85.5714623593083,5,99.6863521219253
"2",FALSE,721690,82.7443916362981,7.9157255885491,4.73056298410675,0.039629203674708,0.199254527567238,2.41668860591113,1.95374745389295,17.2556083637019,65.4887832725963,3,100.091327494014
"3",FALSE,720100,88.11442855159,7.54561866407443,1.0411054020275,0.0473545340924872,0.285932509373698,2.05693653659214,0.908623802249688,11.8855714484099,76.2288571031801,4,99.8708100824999
"4",FALSE,722894,68.2212053219421,24.5423257075035,2.55971138230501,0.0500764980757898,0.244019178468766,2.80359222790617,1.57906968379873,31.7787946780579,36.4424106438842,1,100.258310489902
"5",FALSE,718593,78.9939506786178,16.25064535836,1.44713349559486,0.0322853131049147,0.22070908010515,2.23659289750944,0.818683176707817,21.0060493213822,57.9879013572356,2,99.6618039572474
"6",FALSE,722317,94.1042506268024,2.45543161797383,0.592676068817431,0.0321188619401177,0.215833214502774,1.52509216867386,1.07459744128963,5.89574937319765,88.2085012536047,5,100.178286246856
"7",FALSE,719536,88.0557748326699,6.96462720419826,2.12136710324431,0.0466967601343088,0.180949945520447,1.74959974205599,0.880984412176736,11.9442251673301,76.1115496653399,4,99.7925888120006
"8",FALSE,724625,67.0451612903226,26.3114024495429,2.5900293255132,0.0913575987579783,0.213765740900466,2.27303777816112,1.47524581680179,32.9548387096774,34.0903225806452,1,100.498383219041
"9",FALSE,718730,92.7120058992946,4.44784550526623,0.308182488556203,0.0389576057768564,0.253085303243221,1.90836614584058,0.331557052022317,7.2879941007054,85.4240117985892,5,99.6808045140885
"10",FALSE,720436,93.2118883564952,3.88292645009411,0.812563503211944,0.0259565041169514,0.18336118683686,1.51158465151658,0.37171934772832,6.78811164350476,86.4237767129905,5,99.9174099883292
"11",FALSE,720105,79.069302393401,15.7467313794516,2.64822491164483,0.0209691642191069,0.149700390915214,1.91583171898543,0.449240041382854,20.930697606599,58.1386047868019,2,99.8715035334795
"12",FALSE,722147,88.4641215708159,8.43000109396009,0.528008840305367,0.0188327307321086,0.181680461180341,1.67929798226677,0.698057320739406,11.5358784291841,76.9282431416318,4,100.15470891355
"13",FALSE,718964,81.8445707990943,12.361954145131,1.31425217396142,0.0244796679666854,0.257036513650197,2.53072476507864,1.66698193511775,18.1554292009057,63.6891415981885,3,99.713258019934
"14",FALSE,722645,88.3407482235399,6.55660801638426,0.880653709636128,0.0208954604266272,0.239675082509393,2.37876135585246,1.58265815165123,11.6592517764601,76.6814964470798,4,100.223776631118
"15",FALSE,721575,74.8931157537332,20.5533728302671,1.69324048089249,0.0195405882964349,0.158403492360462,1.72580812805322,0.956518726397117,25.1068842462668,49.7862315074663,2,100.075378121483
"16",FALSE,723377,64.6346234397831,27.5586589012368,2.28635967137468,0.0235008854304187,0.245653372999142,2.4040023390293,2.84720139014649,35.3653765602169,29.2692468795663,1,100.325297854532
"Ohio Total",FALSE,11536504,82.6891491564515,12.2019721052409,1.66630202702656,0.0352446460383492,0.219234527201655,2.06097965206791,1.12711788597308,17.3108508435485,65.3782983129031,3,NA
