"District","Missing Race Data Flag","Population","White %","Black %","Asian %","NHPI %","AIAN %","Two or More Races %","Other %","Non-White %","White % Minus Non-White %","Race Score","Population Target Ratio"
"1",FALSE,718467,87.1536201384336,7.64126953638789,2.70367323760173,0.0208777856185462,0.145031017430167,1.66201092047373,0.673517364054299,12.8463798615664,74.3072402768673,4,99.6443289925614
"2",FALSE,721722,83.5514228470242,11.8732697631498,1.52815072839681,0.02466323598283,0.208113373293318,2.17202745655529,0.642352595597751,16.4485771529758,67.1028456940484,3,100.095765580283
"3",FALSE,720228,92.3862998939225,4.85429613955581,0.393486507050545,0.0399873373431747,0.227705670981967,1.71778936670054,0.380435084445481,7.61370010607752,84.772599787845,4,99.8885624275777
"4",FALSE,722815,92.496143549871,4.67519351424638,0.691463237481237,0.0233808097507661,0.161037056508235,1.49734025995587,0.455441572186521,7.50385645012901,84.992287099742,4,100.247353964425
"5",FALSE,717601,86.9006592800177,8.83248490456396,1.27814760570289,0.0189520360200167,0.158165888843522,1.7094457783643,1.10214450648759,13.0993407199823,73.8013185600354,4,99.524223282894
"6",FALSE,722613,48.673217891181,44.0663259587082,1.93672131555895,0.0222802523619143,0.259613375347523,2.43131524066132,2.61052596618107,51.326782108819,-2.65356421763794,0,100.219338544849
"7",FALSE,724857,81.7401225345137,12.186817537804,1.28218393421047,0.0240047347269875,0.286539276022719,2.52918851580381,1.9511434669183,18.2598774654863,63.4802450690274,3,100.530559344495
"8",FALSE,718109,90.1168207054918,4.94131113800273,0.798346769083802,0.0175460828370066,0.227681313004015,2.16109253609132,1.73720145548935,9.88317929450821,80.2336414109836,4,99.5946779024217
"9",FALSE,720279,81.0006955638024,11.1180528656257,3.14419828982936,0.0610874397282164,0.259760453935211,2.49139569527919,1.92480969179998,18.9993044361976,62.0013911276047,3,99.8956356275697
"10",FALSE,723350,85.3024123868114,9.74383078730905,1.37001451579457,0.0374645745489735,0.253542545102647,2.40713347618718,0.885601714246215,14.6975876131886,70.6048247736227,4,100.321553219242
"11",FALSE,720081,76.8919052162187,17.5451095085136,1.56065775933541,0.0327740906925749,0.248583145507242,2.58901429144777,1.13195598828465,23.1080947837813,53.7838104324375,2,99.8681749687774
"12",FALSE,722235,82.1657770670211,10.5653976891178,3.43461615679107,0.0503991083234681,0.185119801726585,2.22642214791584,1.3722680291041,17.8342229329789,64.3315541340422,3,100.166913650791
"13",FALSE,719856,67.6607543730968,26.9517792447378,1.87745882509835,0.0707085861616768,0.207819341646107,2.18071392056189,1.0507657086973,32.3392456269032,35.3215087461937,1,99.8369696746952
"14",FALSE,722396,87.3641326917646,6.45200139535656,2.77617816266978,0.069075687019308,0.188677678170975,1.84427931494637,1.30565507007237,12.6358673082354,74.7282653835292,4,100.189242772334
"15",FALSE,720296,84.3208903006542,11.908992969557,1.27114408520941,0.0316536534980064,0.190060752801626,1.74053444694959,0.536723791330231,15.6791096993458,68.6417806013083,3,99.8979933609003
"16",FALSE,721599,95.3743006850065,1.81402690413928,0.613360051773908,0.0189856138935891,0.299473807474789,1.61128272073548,0.268570216976465,4.62569931499351,90.748601370013,5,100.078706686185
"Ohio Total",FALSE,11536504,82.6891491564515,12.2019721052409,1.66630202702656,0.0352446460383492,0.219234527201655,2.06097965206791,1.12711788597308,17.3108508435485,65.3782983129031,3,NA
