"District","Population","White %","Black %","Asian %","NHPI %","AIAN %","Two or More Races %","Other %","Non-White %","White % Minus Non-White %","Race Score","Population Target Ratio"
"1",716716,71.2138420238979,18.4065934065934,4.95649601794853,0.0509267269043805,0.236774398785572,2.88175511639199,2.25361230947823,28.7861579761021,42.4276840477958,1,99.4014824595042
"2",719018,86.7285659051651,7.77824755430323,2.11566330745545,0.0429752801737926,0.199021443134942,1.92484750034074,1.21067900942675,13.2714340948349,73.4571318103302,4,99.7207472905137
"3",717660,80.8014937435554,14.2423989075607,1.15528244572639,0.0484909288521027,0.247331605495639,2.46816041022211,1.03684195858763,19.1985062564446,61.6029874871109,3,99.5324060044533
"4",720609,94.7549919581909,2.448207002688,0.539682407519196,0.0183178394940946,0.281844939488682,1.70966501944883,0.247290833170277,5.24500804180909,89.5099839163818,5,99.9414033922235
"5",712877,78.6727584141444,17.2527659049177,1.28339110393518,0.0663508571604919,0.198491464867011,1.82948811646329,0.696754138511973,21.3272415858556,57.3455168282887,2,98.8690507973646
"6",724815,77.8248242655022,15.0550140380649,3.20978456571677,0.0826417775570318,0.195636127839518,2.09929430268413,1.53280492263543,22.1751757344978,55.6496485310045,2,100.524734356266
"7",725345,78.0816025477531,16.599962776334,1.94376469128484,0.0366722042614204,0.234509095671715,2.34536668757626,0.758121997118613,21.9183974522469,56.1632050955063,2,100.598240160104
"8",724015,94.0468084224774,2.76472172537862,0.813657175611002,0.0261044315380206,0.235078002527572,1.54402878393403,0.569601458533318,5.95319157752256,88.0936168449549,5,100.413782199529
"9",722349,90.0548073022874,5.32429615047574,1.2024658440726,0.0211808973224854,0.218453960620143,1.87540925508307,1.30338659013856,9.9451926977126,80.1096146045748,4,100.182724333126
"10",718475,93.3237760534465,3.46135912871012,0.492292703295174,0.0485751069974599,0.189428998921326,1.61258220536553,0.871985803263857,6.67622394655346,86.6475521068931,5,99.6454385141287
"11",719129,80.0448876349028,13.2679950328801,0.980213563908562,0.019885166639087,0.312461324741458,3.10876073694706,2.265796539981,19.9551123650972,60.0897752698056,3,99.7361419022609
"12",724026,87.9737744224655,7.62293066823567,2.05255059901164,0.0211318378069296,0.164496855085315,1.63543850635198,0.529677111042974,12.0262255775345,75.947548844931,4,100.415307791685
"13",716171,87.8418701678789,8.08172908425502,0.972393464689299,0.0175935635483704,0.168116273906651,1.79412458756358,1.12417285815818,12.1581298321211,75.6837403357578,4,99.3258963027274
"14",724883,52.5232347840962,39.9256155821008,2.02791347017381,0.0241418270258787,0.261283545068652,2.47515805999037,2.76265273154426,47.4767652159038,5.04646956819238,1,100.534165289589
"15",718491,90.6128260479254,6.32631445627015,0.601816863398428,0.0189285599958803,0.205848089955198,1.79556876843273,0.438697214022166,9.38717395207456,81.2256520958509,4,99.6476575572634
"16",731925,78.7071079687126,16.4988216005738,2.29422413498651,0.0204939030638385,0.159579191857089,1.8809304231991,0.438842777606995,21.2928920312874,57.4142159374253,2,101.510821649262
"Ohio Total",11536504,82.6891491564515,12.2019721052409,1.66630202702656,0.0352446460383492,0.219234527201655,2.06097965206791,1.12711788597308,17.3108508435485,65.3782983129031,3,NA
