"District","Population","VAP_MOD","Votes Democratic","Votes Republican","Votes Green","Votes Libertarian","Votes Cast","Votes Two Parties","% Votes Democratic (2P)","% Votes Republican (2P)","% Votes Two Parties","Turnout % (POP)","Turnout % (VAP)","% Margin (2P)","Winner"
"1",722126,542136,90186.4,242334.77,888.96,3435.56,336845.69,332521.17,27.1220024878416,72.8779975121584,98.7161717877405,46.6463871955863,62.1330607080142,-45.7559950243168,"Republican"
"2",717710,591035,198738,226448.64,1120.65,5733.28,432040.57,425186.64,46.7413557490894,53.2586442509106,98.4135911125198,60.1970949269204,73.0989822937728,-6.51728850182118,"Republican"
"3",721281,569683,159261.53,191869.79,1114.95,4508.02,356754.29,351131.32,45.3566859259379,54.6433140740621,98.4238535715997,49.4612072132775,62.6232992734556,-9.28662814812416,"Republican"
"4",721005,577491,183756.15,182576.93,1183.64,4408.75,371925.47,366333.08,50.1609491558884,49.8390508441116,98.4963681029965,51.5843121753663,64.4036824816318,0.321898311776785,"Democrat"
"5",721640,552924.513295044,156537.326200808,200804.063592853,1274.81191448628,3475.66276962349,362091.864477771,357341.389793661,43.8060999010491,56.1939000989509,98.688047108995,50.1762463940151,65.4866723705115,-12.3878001979019,"Republican"
"6",723060,556813.486704956,133427.023799192,208136.256407148,1207.82808551372,3816.87723037652,346587.985522229,341563.280206339,39.0636322846496,60.9363677153504,98.550236728974,47.933502824417,62.2448977615873,-21.8727354307008,"Republican"
"7",719642,550961,104743.75,230655.17,1192.42,3664.9,340256.24,335398.92,31.2296026474981,68.7703973525019,98.5724523376853,47.2813204343271,61.756864823463,-37.5407947050038,"Republican"
"8",719327,615697,235419.64,112736.55,1423.47,4099.72,353679.38,348156.19,67.6189729672765,32.3810270327235,98.4383624513253,49.1680946217784,57.4437393718014,35.2379459345531,"Democrat"
"9",721447,556949.233892321,175820.253201677,164419.522144748,1274.793451015,4698.17592674316,346212.744724184,340239.775346425,51.6753965707449,48.3246034292551,98.2747690635951,47.9886595583852,62.1623522676609,3.35079314148985,"Democrat"
"10",721829,539872,89293.7399999999,260733.94,1127.8,4618.66,355774.14,350027.68,25.510479628354,74.4895203716461,98.3848010988095,49.2878701188231,65.8997206745302,-48.9790407432921,"Republican"
"11",720675,569200,128777.53,252744.82,1093.76,5187.43,387803.54,381522.35,33.7536005426681,66.2463994573319,98.3803164870542,53.8111548201339,68.1313316936051,-32.4927989146639,"Republican"
"12",721812,639021,244897.91,196858.22,1214.68,5842.71,448813.52,441756.13,55.4373540894611,44.5626459105389,98.4275451416882,62.1787279790305,70.2345494123041,10.8747081789221,"Democrat"
"13",721701,571098,165829.52,205031.29,1165.52,4003.49,376029.82,370860.81,44.7147596965018,55.2852403034982,98.6253723175465,52.1032699137177,65.8433088541722,-10.5704806069964,"Republican"
"14",718697,577963.238718423,250013.770276564,154363.47934619,1123.19419627309,3209.76028229024,408710.204101317,404377.249622753,61.8268635314681,38.1731364685319,98.9398467581472,56.8682218099306,70.7156055474379,23.6537270629362,"Democrat"
"15",724897,565473.761281577,221812.209723436,100064.040653811,1191.69580372691,2592.54971770976,325660.495898683,321876.250377247,68.9122634750053,31.0877365249947,98.8379783335422,44.9250715479142,57.590735096287,37.8245269500107,"Democrat"
"16",719655,564146.766107679,140622.436798323,225046.587855252,1207.266548985,4273.14407325684,371149.435275816,365669.024653575,38.4562069296258,61.5437930703742,98.523395133777,51.573244857024,65.7895174754888,-23.0875861407484,"Republican"
