"District","Population","VAP_MOD","Votes Democratic","Votes Republican","Votes Green","Votes Libertarian","Votes Cast","Votes Two Parties","% Votes Democratic (2P)","% Votes Republican (2P)","% Votes Two Parties","Turnout % (POP)","Turnout % (VAP)","% Margin (2P)","Winner"
"1",718127,570870,161528.21,221455.42,1190.42,4132.92,388306.97,382983.63,42.1762700405759,57.8237299594241,98.6290897636991,54.0721863959996,68.0202095047909,-15.6474599188482,"Republican"
"2",724615,561572,126300.76,222718.46,1206.68,4048.65,354274.55,349019.22,36.1873366171639,63.8126633828361,98.5165939805724,48.8914182013897,63.0862204668324,-27.6253267656721,"Republican"
"3",718940,563564,145994.85,218453.56,1228.6,5105.77,370782.78,364448.41,40.0591266127351,59.9408733872649,98.2916223887204,51.5735360391688,65.7924885194938,-19.8817467745298,"Republican"
"4",725227,551434,154069.02,198781.92,1265.55,4857.43,358973.92,352850.94,43.6640525883253,56.3359474116747,98.2943106284713,49.4981460977046,65.098256545661,-12.6718948233495,"Republican"
"5",724067,565487,171166.71,183327.46,1203.61,3895.74,359593.52,354494.17,48.2847743307034,51.7152256692966,98.5819127107741,49.6630173727017,63.5900595415986,-3.43045133859323,"Republican"
"6",717619,545694,153488.52,193984.18,1255.15,3401.86,352129.71,347472.7,44.1728285416379,55.8271714583621,98.6774731390884,49.0691731963619,64.5287853632256,-11.6543429167242,"Republican"
"7",718510,555786,257979.72,105463.2,1176.12,2454.63,367073.67,363442.92,70.9821833920991,29.0178166079009,99.0108933718945,51.0881783134542,66.0458647752912,41.9643667841982,"Democrat"
"8",719769,584339,201015.38,155180.92,1142.5,3150.16,360488.96,356196.3,56.4338764888911,43.5661235111089,98.8092117994404,50.0839797212717,61.6917508501058,12.8677529777822,"Democrat"
"9",720160,576155,157904.67,208202.4,1065.55,4363.21,371535.83,366107.07,43.13073495139,56.86926504861,98.5388327150036,51.5907340035548,64.4853954231066,-13.7385300972199,"Republican"
"10",723159,551818,101514.2,253399.52,1051.68,4465.92,360431.32,354913.72,28.6025009120526,71.3974990879474,98.4691674408317,49.8412271713413,65.3170646843706,-42.7949981758947,"Republican"
"11",721619,584062,162675.35,235411.86,1097.93,5630.47,404815.61,398087.21,40.8642493186355,59.1357506813645,98.3379099437396,56.098247135954,69.3103831442552,-18.271501362729,"Republican"
"12",721571,583097,214911.93,176979.38,1223.9,4767.41,397882.62,391891.31,54.8396773585002,45.1603226414998,98.4942016316269,55.141160052164,68.2360945091469,9.67935471700046,"Democrat"
"13",719457,577685,142324.78,206530.34,1138.74,4674.74,354668.6,348855.12,40.7976755508132,59.2023244491868,98.3608698373637,49.2967057100007,61.3948085894562,-18.4046488983736,"Republican"
"14",720936,635180,271874.18,121786.77,1313.15,4729.26,399703.36,393660.95,69.0630300008167,30.9369699991833,98.4882764057825,55.4422805907875,62.9275732863125,38.1260600016334,"Democrat"
"15",718894,541133,99429.13,228093.65,958.4,3468.62,331949.8,327522.78,30.3579280806056,69.6420719193944,98.6663585879552,46.1750689253214,61.3434774815064,-39.2841438387889,"Republican"
"16",723834,592589,156959.78,225055.03,1287.46,4421.9,387724.17,382014.81,41.0873547022955,58.9126452977045,98.5274686383364,53.5653437114035,65.4288503499053,-17.8252905954091,"Republican"
