"Geography","Population","district"
"39001770100",4864,7
"39001770200",4815,7
"39001770300",6964,7
"39001770400",4948,7
"39001770500",3442,7
"39001770600",3517,7
"39003010100",4405,9
"39003010200",4110,4
"39003010300",1676,4
"39003010600",5138,5
"39003010800",7994,4
"39003010900",4515,4
"39003011000",5445,4
"39003011200",4218,4
"39003011300",7559,4
"39003011400",3056,4
"39003011500",2783,4
"39003011600",2693,4
"39003011800",2346,4
"39003011900",3208,4
"39003012000",2410,4
"39003012100",3455,5
"39003012200",3291,4
"39003012300",4052,4
"39003012400",2710,4
"39003012600",1834,4
"39003012700",1648,4
"39003012900",1741,4
"39003013000",3993,4
"39003013100",2313,4
"39003013200",1774,4
"39003013300",1290,4
"39003013400",2549,4
"39003013600",1375,4
"39003013700",1156,4
"39003013800",2728,4
"39003013900",3406,5
"39003014000",3309,4
"39003014100",2151,4
"39005970100",8353,10
"39005970200",5845,10
"39005970300",3895,10
"39005970400",3837,10
"39005970500",3083,10
"39005970600",5371,10
"39005970700",5288,10
"39005970800",4071,10
"39005970900",4943,10
"39005971000",4779,10
"39005971100",3674,10
"39007000101",4554,13
"39007000102",3483,12
"39007000103",3721,13
"39007000200",4688,13
"39007000300",2214,13
"39007000400",1794,12
"39007000500",4265,13
"39007000601",2746,12
"39007000602",3428,12
"39007000603",4101,12
"39007000701",3292,13
"39007000702",2971,13
"39007000703",3873,13
"39007000704",4041,13
"39007000801",1736,12
"39007000802",5187,13
"39007000900",4780,12
"39007001001",5564,13
"39007001002",3465,13
"39007001101",1973,13
"39007001102",6060,13
"39007001200",7482,13
"39007001301",3927,13
"39007001302",3896,13
"39007001400",8256,13
"39007990000",0,12
"39009972600",4483,2
"39009972700",3981,2
"39009972800",4500,2
"39009972900",5391,2
"39009973000",3614,2
"39009973101",4527,2
"39009973200",4830,2
"39009973300",3721,2
"39009973400",3347,2
"39009973500",3428,2
"39009973600",3972,2
"39009973700",4140,2
"39009973800",4867,2
"39009973901",6462,2
"39009973902",3494,2
"39011040100",4025,4
"39011040200",4142,4
"39011040300",3645,5
"39011040400",6712,5
"39011040500",5021,5
"39011040600",3851,5
"39011040900",3748,5
"39011041000",3649,5
"39011041100",3992,5
"39011041201",1893,5
"39011041202",5271,5
"39013010100",4264,15
"39013010200",3905,15
"39013010300",3425,15
"39013010600",3712,15
"39013010700",2695,15
"39013010802",2323,2
"39013010900",6798,2
"39013011000",5009,2
"39013011200",3491,2
"39013011300",4019,2
"39013011400",4499,2
"39013011500",1640,2
"39013011600",1250,2
"39013011700",1406,2
"39013011900",3071,15
"39013012000",2643,15
"39013012100",1277,15
"39013012200",6288,15
"39013012300",4104,15
"39013012400",4581,15
"39015951201",4427,7
"39015951202",5041,7
"39015951300",7777,7
"39015951400",4393,7
"39015951500",5423,7
"39015951600",3699,7
"39015951700",2673,7
"39015951800",5270,7
"39015951900",6143,7
"39017000100",4639,6
"39017000200",4226,6
"39017000300",3349,6
"39017000400",4944,6
"39017000500",4575,6
"39017000600",5017,6
"39017001001",5464,6
"39017001002",5087,6
"39017001100",4550,6
"39017001300",4256,6
"39017010101",6819,6
"39017010102",2749,6
"39017010103",5308,6
"39017010104",5265,6
"39017010201",1950,6
"39017010202",4194,6
"39017010203",5515,6
"39017010301",4449,6
"39017010302",3550,6
"39017010500",2377,6
"39017010600",3427,6
"39017010800",6568,6
"39017010901",4349,6
"39017010903",5328,6
"39017010904",3604,6
"39017010906",7155,6
