"District","District Perimeter","District Area","Compactness Polsby Popper","Compactness Schwartzberg","Compactness Reock"
"1",547824.63183089,3879570803.89322,0.162446528664386,0.403046558928848,0.257240841567277
"10",490218.745954857,8109200229.90312,0.424041203801173,0.651184462192683,0.453101776685962
"11",691840.422217941,7015679737.59975,0.184190723390996,0.429174467310202,0.30021871715734
"12",222869.898355521,673294851.61022,0.170338307465284,0.412720616719451,0.193427401418272
"13",400982.541890186,5261149693.952,0.411187206452232,0.641238806102868,0.520254620570672
"14",385301.660178107,2867713872.58615,0.242741438165284,0.492687972417923,0.422242097115188
"15",831102.386088936,15094047336.8777,0.274603781401061,0.524026508299972,0.311354870251476
"16",871401.689863991,14372311344.3189,0.237848099220209,0.487696728736424,0.283313455655308
"2",261394.793360804,1950418252.40799,0.358710220573456,0.598924219391281,0.525163734889275
"3",687100.879505701,5974024586.80783,0.159014182480166,0.398765824112556,0.223240795859622
"4",834939.53396456,18810356012.947,0.33907582645558,0.582302177958815,0.510955564061877
"5",1055117.13477651,18784246393.083,0.212032428952209,0.460469791574006,0.397758053939873
"6",487998.885559322,4346432380.78515,0.229353372804789,0.478908522376444,0.360031092211928
"7",321881.844076982,1538744696.49741,0.186630866139001,0.432007946847048,0.408116828702199
"8",268756.226436428,1326475790.71112,0.230776787213425,0.480392326347357,0.246236368476669
"9",484397.949541109,5960345189.47927,0.319210144046668,0.564986852985685,0.334401154702103
