"District","District Perimeter","District Area","Compactness Polsby Popper","Compactness Schwartzberg","Compactness Reock"
"1",636252.345752322,10461368544.6571,0.324742831571517,0.569862116280348,0.553888640764608
"10",464822.043983581,6407036675.91648,0.372643578603168,0.610445393629249,0.485386850941119
"11",899311.311046262,14461986615.6201,0.224707572315863,0.474033302960734,0.375524351742516
"12",292403.733157936,2271854349.25594,0.333906230552697,0.577846199738907,0.38032895482076
"13",781134.060586402,8191372273.60013,0.168700114514961,0.410731194962059,0.12888342168238
"14",450221.104892027,3945660652.48642,0.244612077456393,0.494582730649173,0.229975645894446
"15",225073.807311637,1214967352.14338,0.301387028833709,0.548987275657377,0.311008045764423
"16",339607.87792456,2852499764.01847,0.310799254955641,0.557493726382316,0.334731398406109
"2",879999.955518322,16292947100.1448,0.264389504595851,0.514188199588294,0.416789517817915
"3",321978.851515276,3202503583.84138,0.38819040316864,0.623049278282738,0.549376799264511
"4",404883.405154403,3243099464.78588,0.248605183120154,0.498603232159754,0.361394723560909
"5",220340.027205207,960902202.74955,0.248715158737424,0.498713503664603,0.377290298563687
"6",1119579.63088051,19464460206.2794,0.195138180503436,0.44174447421947,0.301783672148105
"7",198283.766314021,860645677.47024,0.275080583447063,0.524481251759358,0.189789141871553
"8",746948.3317701,8580101096.33124,0.193250731161207,0.439602924422947,0.260736546861405
"9",947780.161778368,13552605614.222,0.189590877273308,0.435420345497667,0.3096961053175
