"District","District Perimeter","District Area","Compactness Polsby Popper","Compactness Schwartzberg","Compactness Reock"
"1",487349.516433874,8985267553.65465,0.475400680069392,0.689493060203939,0.441075786896645
"10",834680.487931221,13983744734.3402,0.252227728682373,0.502222787896341,0.399927511969186
"11",320160.201834232,3217531051.79825,0.394455413563067,0.628056855358706,0.409837001289618
"12",670179.798800017,6348380068.52902,0.177619285176947,0.421449030342872,0.293124009195284
"13",493996.789330992,9145317654.80613,0.47093439042502,0.686246595929641,0.448534079096968
"14",591975.07892182,8292414111.39361,0.297360992643424,0.545308163008242,0.355383613563051
"15",747093.82750595,5013202589.54295,0.112869037815257,0.335959875305456,0.131466674082046
"16",217340.627574942,837926688.124719,0.222912310563779,0.472135902642215,0.29965434793918
"2",857491.197525193,13271233905.2883,0.22680980574062,0.476245530940312,0.322735321056695
"3",660997.951070584,7884659852.64162,0.226773655040221,0.476207575580461,0.25458464762662
"4",156393.783684367,591600339.722456,0.303948010569063,0.551314801695966,0.328979684669845
"5",549988.404798881,4251513351.12967,0.176622628730042,0.420264950632386,0.259195888799302
"6",659173.433146512,5710561629.20729,0.165154075714404,0.406391530072175,0.391106784893808
"7",282865.563860245,1196780598.77713,0.18795948443853,0.433542944168776,0.288970057301574
"8",540789.45833512,4587453967.8916,0.197117484772968,0.44397914902951,0.309612337110185
"9",1104223.48302045,22646423076.2743,0.233397136133296,0.483111929197879,0.273812986938886
