"Geography","Population","district"
"39001770100",4864,4
"39001770200",4815,4
"39001770300",6964,4
"39001770400",4948,4
"39001770500",3442,4
"39001770600",3517,4
"39003010100",4405,16
"39003010200",4110,16
"39003010300",1676,16
"39003010600",5138,15
"39003010800",7994,16
"39003010900",4515,16
"39003011000",5445,16
"39003011200",4218,16
"39003011300",7559,16
"39003011400",3056,15
"39003011500",2783,15
"39003011600",2693,15
"39003011800",2346,16
"39003011900",3208,15
"39003012000",2410,16
"39003012100",3455,15
"39003012200",3291,16
"39003012300",4052,16
"39003012400",2710,16
"39003012600",1834,16
"39003012700",1648,16
"39003012900",1741,16
"39003013000",3993,16
"39003013100",2313,16
"39003013200",1774,16
"39003013300",1290,16
"39003013400",2549,16
"39003013600",1375,15
"39003013700",1156,15
"39003013800",2728,15
"39003013900",3406,16
"39003014000",3309,16
"39003014100",2151,16
"39005970100",8353,12
"39005970200",5845,10
"39005970300",3895,10
"39005970400",3837,10
"39005970500",3083,10
"39005970600",5371,10
"39005970700",5288,10
"39005970800",4071,10
"39005970900",4943,10
"39005971000",4779,10
"39005971100",3674,14
"39007000101",4554,6
"39007000102",3483,6
"39007000103",3721,6
"39007000200",4688,6
"39007000300",2214,6
"39007000400",1794,6
"39007000500",4265,6
"39007000601",2746,6
"39007000602",3428,6
"39007000603",4101,6
"39007000701",3292,6
"39007000702",2971,6
"39007000703",3873,6
"39007000704",4041,6
"39007000801",1736,6
"39007000802",5187,6
"39007000900",4780,6
"39007001001",5564,6
"39007001002",3465,6
"39007001101",1973,6
"39007001102",6060,6
"39007001200",7482,6
"39007001301",3927,6
"39007001302",3896,6
"39007001400",8256,6
"39007990000",0,NA
"39009972600",4483,7
"39009972700",3981,7
"39009972800",4500,7
"39009972900",5391,7
"39009973000",3614,7
"39009973101",4527,7
"39009973200",4830,7
"39009973300",3721,7
"39009973400",3347,7
"39009973500",3428,7
"39009973600",3972,7
"39009973700",4140,7
"39009973800",4867,7
"39009973901",6462,7
"39009973902",3494,7
"39011040100",4025,15
"39011040200",4142,15
"39011040300",3645,15
"39011040400",6712,15
"39011040500",5021,15
"39011040600",3851,15
"39011040900",3748,15
"39011041000",3649,15
"39011041100",3992,15
"39011041201",1893,15
"39011041202",5271,15
"39013010100",4264,8
"39013010200",3905,8
"39013010300",3425,8
"39013010600",3712,8
"39013010700",2695,8
"39013010802",2323,8
"39013010900",6798,8
"39013011000",5009,8
"39013011200",3491,8
"39013011300",4019,8
"39013011400",4499,8
"39013011500",1640,8
"39013011600",1250,8
"39013011700",1406,8
"39013011900",3071,8
"39013012000",2643,8
"39013012100",1277,8
"39013012200",6288,8
"39013012300",4104,8
"39013012400",4581,8
"39015951201",4427,4
"39015951202",5041,4
"39015951300",7777,4
"39015951400",4393,4
"39015951500",5423,4
"39015951600",3699,4
"39015951700",2673,4
"39015951800",5270,4
"39015951900",6143,4
"39017000100",4639,2
"39017000200",4226,2
"39017000300",3349,2
"39017000400",4944,2
"39017000500",4575,4
"39017000600",5017,2
"39017001001",5464,2
"39017001002",5087,2
"39017001100",4550,2
"39017001300",4256,2
"39017010101",6819,2
"39017010102",2749,2
"39017010103",5308,2
"39017010104",5265,2
"39017010201",1950,2
"39017010202",4194,2
"39017010203",5515,2
"39017010301",4449,2
"39017010302",3550,2
"39017010500",2377,2
"39017010600",3427,2
"39017010800",6568,2
"39017010901",4349,2
"39017010903",5328,4
"39017010904",3604,4
"39017010906",7155,4
"39017010907",2611,4
