"Geography","Population","district"
"39011040600",3851,15
"39011040900",3748,15
"39011041000",3649,15
"39011041100",3992,15
"39011041201",1893,15
"39011041202",5271,15
"39013010100",4264,5
"39013010200",3905,5
"39013010300",3425,5
"39013010600",3712,5
"39013010700",2695,5
"39013010802",2323,5
"39013010900",6798,5
"39013011000",5009,5
"39013011200",3491,5
"39013011300",4019,5
"39013011400",4499,5
"39013011500",1640,5
"39013011600",1250,5
"39013011700",1406,5
"39013011900",3071,5
"39013012000",2643,5
"39013012100",1277,5
"39013012200",6288,5
"39013012300",4104,5
"39013012400",4581,5
"39015951201",4427,10
"39015951202",5041,10
"39015951300",7777,10
"39015951400",4393,10
"39015951500",5423,10
"39015951600",3699,10
"39015951700",2673,10
"39015951800",5270,10
"39015951900",6143,10
"39017000100",4639,12
"39017000200",4226,11
"39017000300",3349,11
"39017000400",4944,12
"39017000500",4575,12
"39017000600",5017,12
"39017001001",5464,11
"39017001002",5087,11
"39017001100",4550,11
"39017001300",4256,11
"39017010101",6819,11
"39017010102",2749,11
"39017010103",5308,11
"39017010104",5265,11
"39017010201",1950,11
"39017010202",4194,11
"39017010203",5515,11
"39017010301",4449,11
"39017010302",3550,11
"39017010500",2377,12
"39017010600",3427,11
"39017010800",6568,11
"39017010901",4349,12
"39017010903",5328,12
"39017010904",3604,12
"39017010906",7155,12
"39017010907",2611,12
"39017010908",5300,12
"39017010909",4716,12
"39017010910",4780,12
"39017010911",4226,12
"39017011002",12210,12
"39017011003",6422,12
"39017011004",6001,12
"39017011109",4389,12
"39017011110",5250,12
"39017011111",6730,9
"39017011112",5537,12
"39017011116",8529,12
"39017011117",11039,12
"39017011118",3014,12
"39017011120",7393,12
"39017011121",7593,12
"39017011122",5068,12
"39017011123",5075,12
"39017011125",3623,12
"39017011126",4811,12
"39017011127",4600,12
"39017011128",3138,12
"39017011129",4246,12
"39017011130",5167,9
"39017011131",3122,12
"39017011200",7802,12
"39017011300",5044,12
"39017011800",5845,11
"39017012100",3245,11
"39017012200",3226,11
"39017012300",2028,11
"39017012400",2322,11
"39017012500",4812,11
"39017012600",2467,12
"39017012700",2983,12
"39017013000",1715,12
"39017013100",2105,12
"39017013200",3327,12
"39017013300",2134,12
"39017013400",2180,12
"39017013500",2876,12
"39017013600",5064,12
"39017013900",2832,12
"39017014000",2687,12
"39017014100",2276,12
"39017014300",4574,11
"39017014400",1882,12
"39017014600",1037,12
"39017014700",4202,12
"39017014800",6773,11
"39017014900",4941,11
"39017015000",7629,11
"39017015100",6818,12
"39019720100",3517,6
"39019720200",3626,6
"39019720300",5274,6
"39019720400",4318,6
"39019720500",5397,6
"39019720600",3451,6
"39019720700",3253,6
"39021010100",1809,16
"39021010200",7260,16
"39021010400",4150,16
"39021010500",4070,16
"39021010600",4130,16
"39021011001",2702,16
"39021011501",4473,16
"39021011504",5194,16
"39021011505",3313,16
"39021011506",2996,16
"39023000200",1559,16
"39023000300",1635,16
"39023000400",2229,16
"39023000500",1880,16
"39023000600",2768,16
"39023000700",2577,16
"39023000901",2475,16
"39023000902",1244,16
"39023001000",1501,16
"39023001101",1452,16
"39023001102",2841,16
"39023001200",4245,16
"39023001300",4124,16
"39023001400",3566,16
"39023001500",4353,16
"39023001600",3885,16
"39023001700",2665,16
"39023001900",2865,16
"39023002000",2205,16
"39023002100",1749,16
"39023002200",4358,16
"39023002301",3238,16
"39023002403",3998,16
"39023002404",3112,16
"39023002501",2078,16
"39023002502",3174,16
"39023002601",3818,16
"39023002602",4067,16
"39023002605",3858,16
"39023002606",7726,16
"39023002701",3173,16
"39023002702",2681,16
"39023002800",4649,16
"39023002901",3743,16
"39023002902",4477,16
"39023003001",3145,16
"39023003002",3574,16
"39023003101",2517,16
"39023003102",1878,16
"39023003200",2798,16
"39023003301",3577,16
"39023003302",2543,16
"39023003400",3700,16
"39023003700",4633,16
"39025040101",5176,10
"39025040102",2689,9
"39025040202",2177,9
"39025040203",6195,9
"39025040204",7181,9
"39025040301",3839,9
"39025040302",3459,9
"39025040303",7207,9
"39025040401",3595,9
"39025040403",2719,9
"39025040404",3758,9
"39025040405",2582,9
"39025040500",5109,9
"39025040600",6817,9
"39025040701",6313,9
"39025040702",4019,9
"39025040800",5890,9
"39025040900",5746,10
"39025041000",7507,9
"39025041101",2782,9
"39025041102",4656,9
"39025041103",8335,9
"39025041200",8350,9
"39025041303",5028,9
"39025041304",37,9
"39025041305",4466,9
"39025041306",4286,9
"39025041307",4840,9
"39025041403",4342,9
"39025041404",4742,9
"39025041405",5472,9
"39025041406",4857,9
"39025041501",6269,9
"39025041502",8080,9
"39025041600",5192,9
"39025041701",4522,9
"39025041702",3306,9
"39025041800",3692,10
"39025041900",5665,10
"39025042000",6466,10
"39027964300",3712,10
"39027964400",5087,10
"39027964500",6300,10
"39027964600",2976,10
"39027964700",5569,10
"39027964800",4942,10
"39027964900",4984,10
"39027965000",4156,10
"39027965100",4314,10
"39029950100",5712,6
"39029950200",4741,6
"39029950300",5100,6
"39029950400",4443,6
"39029950500",6097,6
"39029950600",4951,6
"39029950700",5488,6
"39029950800",4531,6
"39029950900",3999,6
"39029951000",5894,6
"39029951100",4845,6
"39029951200",4567,6
"39029951300",3991,6
"39029951400",7652,6
"39029951500",4654,6
"39029951600",5562,6
"39029951700",5108,6
"39029951800",3279,6
"39029951900",3665,6
"39029952000",2827,6
"39029952100",1521,6
"39029952200",2085,6
"39029952300",3039,6
"39029952400",4090,6
"39031960900",4652,5
"39031961000",4690,5
"39031961100",4373,8
"39031961200",3218,5
"39031961300",3944,5
"39031961400",3348,5
"39031961500",2499,5
"39031961600",2324,5
"39031961700",2863,5
"39031961800",4990,5
"39033974100",3666,8
"39033974200",4345,8
"39033974300",2765,8
"39033974400",3458,8
"39033974500",4102,8
"39033974600",2789,8
"39033974700",4026,8
"39033974800",2221,8
"39033974900",3397,8
"39033975000",3748,8
"39033975100",3052,8
"39033975200",2691,8
"39033975300",3524,8
"39035101101",1783,1
"39035101102",4221,1
"39035101200",2562,1
"39035101300",1629,1
"39035101400",2195,1
"39035101501",2194,1
"39035101603",2471,1
"39035101700",2752,1
"39035101800",2942,1
"39035101901",1692,1
"39035102101",3152,1
"39035102102",2512,1
"39035102200",2750,1
"39035102300",2283,1
"39035102401",2114,1
"39035102402",3250,1
"39035102700",4553,1
"39035102800",2048,1
"39035102900",1961,1
"39035103100",1054,1
"39035103300",2222,4
"39035103400",2770,1
"39035103500",1981,1
"39035103602",3254,4
"39035103800",1993,1
"39035103900",2042,4
"39035104100",1095,4
"39035104200",1143,4
"39035104300",1603,4
"39035104400",1498,4
"39035104600",1190,4
"39035104800",2124,4
"39035104900",2493,4
"39035105100",3790,1
"39035105300",3434,1
"39035105400",3646,1
"39035105500",1854,4
"39035105602",2163,4
"39035105700",4165,4
"39035105900",2968,4
"39035106100",3503,1
"39035106200",3663,1
"39035106300",2764,1
"39035106400",1115,1
"39035106500",2520,1
"39035106600",3222,1
"39035106800",2942,4
"39035106900",3501,4
"39035107000",1646,4
"39035107101",4193,4
"39035107701",1944,4
"39035107802",3334,4
"39035108201",1354,4
"39035108301",1647,4
"39035108400",1237,4
"39035108701",4393,4
"39035109301",1873,4
"39035109701",2212,4
"39035109801",1884,4
"39035110501",851,4
"39035110801",1323,4
"39035110901",3102,4
"39035111202",1444,4
"39035111401",1253,4
"39035111500",1179,4
"39035111600",1130,4
"39035111700",1404,4
"39035111800",878,4
"39035111902",841,4
"39035112100",1762,4
"39035112200",1341,4
"39035112301",1427,4
"39035112400",1189,4
"39035112500",1274,4
"39035112600",1048,4
"39035112800",1015,4
"39035113101",956,4
"39035113500",1221,4
"39035113600",1107,4
"39035113801",2009,4
"39035114100",1121,4
"39035114300",1927,4
"39035114501",1369,4
"39035114600",1284,4
"39035114700",240,4
"39035114900",2199,4
"39035115100",1331,4
"39035115200",950,4
"39035115300",937,4
"39035115400",2275,4
"39035115700",1416,4
"39035115800",3226,4
"39035115900",3671,4
"39035116100",954,4
"39035116200",1146,4
"39035116300",1695,4
"39035116400",2990,4
"39035116500",2593,4
