"District","District Perimeter","District Area","Compactness Polsby Popper","Compactness Schwartzberg"
"1",7.26188473486932,0.757957085282377,0.18061581643154,0.424989195664478
"10",3.35312083116589,0.169000067616451,0.188885375993556,0.434609452259791
"11",9.53637372155908,2.00290912270754,0.276760804286564,0.526080606263493
"12",7.59507358081917,0.847387239362549,0.184598348996839,0.429649099844093
"13",6.29470290993147,0.346655457922576,0.109940429978385,0.331572661687276
"14",4.56709492587281,0.214157714097009,0.129021922786065,0.359196217666702
"15",10.1149550101307,1.21372959898243,0.149074683607276,0.386101908318615
"16",4.92526088660864,0.431615235507073,0.223587824924513,0.47285074275559
"2",5.46098863323688,0.378165683493004,0.159349034081152,0.399185463263821
"3",2.94594780114675,0.0777448427249256,0.112572253143306,0.33551788796323
"4",7.54861941558758,0.923180399563153,0.203592314548485,0.451212050535538
"5",10.2983186070406,1.47776315755266,0.175098349054007,0.418447546359167
"6",6.4337864883035,0.599317940965985,0.181942372769692,0.426547034651153
"7",12.1595919659819,2.25335243714334,0.191514201326232,0.437623355553874
"8",3.94964488973782,0.152919924606411,0.123185003110663,0.350977211668596
"9",4.77990358284135,0.474044849155547,0.260730011172279,0.510617284443328
