"Geography","Population","district"
"39025041000",7507,13
"39025041101",2782,13
"39025041102",4656,13
"39025041103",8335,13
"39025041200",8350,13
"39025041303",5028,13
"39025041304",37,13
"39025041305",4466,13
"39025041306",4286,13
"39025041307",4840,13
"39025041403",4342,13
"39025041404",4742,13
"39025041405",5472,13
"39025041406",4857,13
"39025041501",6269,13
"39025041502",8080,13
"39025041600",5192,13
"39025041701",4522,13
"39025041702",3306,13
"39025041800",3692,13
"39025041900",5665,13
"39025042000",6466,13
"39027964300",3712,14
"39027964400",5087,13
"39027964500",6300,13
"39027964600",2976,13
"39027964700",5569,13
"39027964800",4942,13
"39027964900",4984,13
"39027965000",4156,13
"39027965100",4314,13
"39029950100",5712,6
"39029950200",4741,6
"39029950300",5100,6
"39029950400",4443,6
"39029950500",6097,6
"39029950600",4951,6
"39029950700",5488,6
"39029950800",4531,6
"39029950900",3999,6
"39029951000",5894,6
"39029951100",4845,6
"39029951200",4567,8
"39029951300",3991,6
"39029951400",7652,6
"39029951500",4654,6
"39029951600",5562,6
"39029951700",5108,6
"39029951800",3279,8
"39029951900",3665,8
"39029952000",2827,8
"39029952100",1521,8
"39029952200",2085,8
"39029952300",3039,8
"39029952400",4090,8
"39031960900",4652,2
"39031961000",4690,2
"39031961100",4373,2
"39031961200",3218,2
"39031961300",3944,2
"39031961400",3348,2
"39031961500",2499,2
"39031961600",2324,2
"39031961700",2863,2
"39031961800",4990,2
"39033974100",3666,3
"39033974200",4345,3
"39033974300",2765,3
"39033974400",3458,3
"39033974500",4102,3
"39033974600",2789,3
"39033974700",4026,3
"39033974800",2221,3
"39033974900",3397,3
"39033975000",3748,3
"39033975100",3052,3
"39033975200",2691,3
"39033975300",3524,3
"39035101101",1783,5
"39035101102",4221,5
"39035101200",2562,5
"39035101300",1629,5
"39035101400",2195,5
"39035101501",2194,5
"39035101603",2471,5
"39035101700",2752,5
"39035101800",2942,5
"39035101901",1692,5
"39035102101",3152,5
"39035102102",2512,1
"39035102200",2750,5
"39035102300",2283,5
"39035102401",2114,5
"39035102402",3250,5
"39035102700",4553,5
"39035102800",2048,5
"39035102900",1961,5
"39035103100",1054,5
"39035103300",2222,5
"39035103400",2770,5
"39035103500",1981,5
"39035103602",3254,5
"39035103800",1993,5
"39035103900",2042,5
"39035104100",1095,5
"39035104200",1143,5
"39035104300",1603,5
"39035104400",1498,5
"39035104600",1190,5
"39035104800",2124,1
"39035104900",2493,1
"39035105100",3790,1
"39035105300",3434,5
"39035105400",3646,1
"39035105500",1854,1
"39035105602",2163,1
"39035105700",4165,1
"39035105900",2968,1
"39035106100",3503,1
"39035106200",3663,1
"39035106300",2764,1
"39035106400",1115,1
"39035106500",2520,1
"39035106600",3222,1
"39035106800",2942,1
"39035106900",3501,1
"39035107000",1646,1
"39035107101",4193,5
"39035107701",1944,5
"39035107802",3334,5
"39035108201",1354,5
"39035108301",1647,5
"39035108400",1237,5
"39035108701",4393,5
"39035109301",1873,5
"39035109701",2212,5
"39035109801",1884,5
"39035110501",851,1
"39035110801",1323,1
"39035110901",3102,1
"39035111202",1444,5
"39035111401",1253,5
"39035111500",1179,5
"39035111600",1130,5
"39035111700",1404,5
"39035111800",878,5
"39035111902",841,5
"39035112100",1762,5
"39035112200",1341,5
"39035112301",1427,5
"39035112400",1189,5
"39035112500",1274,5
"39035112600",1048,5
"39035112800",1015,5
"39035113101",956,5
"39035113500",1221,5
"39035113600",1107,5
"39035113801",2009,5
"39035114100",1121,5
"39035114300",1927,1
"39035114501",1369,1
"39035114600",1284,1
"39035114700",240,1
"39035114900",2199,1
"39035115100",1331,1
"39035115200",950,1
"39035115300",937,1
"39035115400",2275,1
"39035115700",1416,1
"39035115800",3226,1
"39035115900",3671,1
"39035116100",954,5
"39035116200",1146,5
"39035116300",1695,5
"39035116400",2990,5
"39035116500",2593,5
"39035116600",2629,5
"39035116700",1708,5
"39035116800",2808,5
"39035116900",1593,5
"39035117101",2416,5
"39035117102",1213,5
"39035117201",3352,5
"39035117202",1837,5
"39035117300",2580,5
"39035117400",1546,5
"39035117500",2761,5
"39035117600",3044,5
"39035117700",4899,5
"39035117800",2069,5
"39035117900",2541,5
"39035118101",2086,5
"39035118200",2101,5
"39035118301",2486,5
"39035118400",1772,5
"39035118500",994,5
"39035118602",2024,5
"39035118700",3679,5
"39035118800",3081,5
"39035118900",1385,5
"39035119100",127,5
"39035119202",1019,5
"39035119300",3572,7
"39035119401",2133,7
"39035119402",1776,7
"39035119501",2536,7
"39035119502",1772,7
"39035119600",2721,1
"39035119701",2026,7
"39035119702",2227,7
"39035119800",3407,7
"39035119900",2267,7
"39035120200",2296,1
"39035120400",2444,1
"39035120500",2382,1
"39035120600",2892,1
"39035120701",1649,7
"39035120702",2031,7
"39035120801",2292,7
"39035120802",2200,7
"39035121100",2285,7
"39035121200",1764,7
